平成３０年,人口動態統計,,
中巻　総覧　第２表－１３　人口動態総覧（件数），都道府県（東京都）・市部－郡部－保健所－市区町村別
,出生数,（再掲）,死亡数,（再掲）, ,死産数, ,周産期死亡, , ,婚姻件数,離婚件数
,　　　,2500g未満,　　　,乳児死亡数,新生児,自然死産,人工死産,総　数,22週以後,早期新生児,　　　,　　　
,,,,,死亡数,,,,の死産数,死亡数,,
１３東　京　　,107150,9790,119253,183,71,1007,1194,315,259,56,82716,22706
　　都区部　　,77335,7044,80091,130,51,728,891,233,193,40,64253,16279
　　市　部　　,29334,2704,37847,51,20,279,298,82,66,16,18218,6301
　　郡　部　　,481,42,1315,2,-,-,5,-,-,-,245,126
1364千代田　　　　　　　,582,52,401,1,-,5,7,-,-,-,　　　　...,　　　　...
1369中央区　　　　　　　,2043,195,911,4,-,19,24,3,3,-,　　　　...,　　　　...
1360みなと　　　　　　　,2857,248,1588,4,1,24,31,6,5,1,　　　　...,　　　　...
1362新宿区　　　　　　　,2479,225,2662,3,2,25,38,9,7,2,　　　　...,　　　　...
1366文京　　　　　　　　,2067,171,1640,3,2,14,18,7,6,1,　　　　...,　　　　...
1354台東　　　　　　　　,1610,146,1918,3,2,19,21,7,6,1,　　　　...,　　　　...
1367墨田区　　　　　　　,2449,223,2481,4,2,26,23,8,6,2,　　　　...,　　　　...
1368江東区　　　　　　　,4395,357,4093,6,2,30,40,6,5,1,　　　　...,　　　　...
1363品川区　　　　　　　,3745,356,3165,5,1,29,44,5,4,1,　　　　...,　　　　...
1355目黒区　　　　　　　,2458,222,2023,4,2,25,30,11,9,2,　　　　...,　　　　...
1356大田区　　　　　　　,5794,508,6467,9,4,48,84,17,14,3,　　　　...,　　　　...
1327世田谷　　　　　　　,7371,682,6837,10,4,70,77,21,18,3,　　　　...,　　　　...
1331渋谷区　　　　　　　,2037,172,1598,6,4,36,27,9,5,4,　　　　...,　　　　...
1361中野区　　　　　　　,2525,238,2737,1,-,37,33,5,5,-,　　　　...,　　　　...
1357杉並　　　　　　　　,4584,449,4518,6,4,47,43,22,19,3,　　　　...,　　　　...
1337池袋　　　　　　　　,2009,173,2455,4,2,17,31,8,6,2,　　　　...,　　　　...
1358北区　　　　　　　　,2703,231,3763,3,-,28,23,6,6,-,　　　　...,　　　　...
1342荒川区　　　　　　　,1568,156,2097,-,-,8,18,2,2,-,　　　　...,　　　　...
1359板橋区　　　　　　　,4377,374,5000,10,7,31,42,16,10,6,　　　　...,　　　　...
