
äÈã∆ÉRÅ[Éh,èZèäÉRÅ[Éh,ÇsÇcÇaéYã∆ï™óﬁÉRÅ[Éh,éëñ{ã‡(êÁâ~),è]ã∆àıêî,ç≈êVä˙ã∆ê—îÑè„çÇ(ïSñúâ~)
786320312,1020202600,28271,40000,3,20
786037337,1020213400,34541,3000,5,30
756604268,1020105600,20994,0,1,180
786030105,1052000107,39301,10000,10,129
078800858,1046000413,20523,3000,5,10425
988325686,1020409102,35412,9000,0,2000
756394588,1020516200,34431,410000,50,25
756934835,1020105400,34541,5000,27,20
786080210,1020903600,35712,0,0,17
786040154,1020217600,39304,10000,13,15
786350113,1020102602,20199,10000,0,440
756607395,1020221400,27401,33000,25,110
756090721,1020905000,27401,20000,3,900
263320359,1020220700,35431,10000,4,23
786074256,1052000209,39643,3000,29,230
756316683,1020305900,34541,3000,8,4
756088058,1020301702,34431,3000,3,38
756068713,1021202200,35951,3000,46,50
786013539,1020404500,39651,10000,3,12
756813051,1020116400,25111,10000,0,55
786028190,1021201000,35991,10000,14,468
786378852,1020110400,36611,3000,0,210
756990342,1038000305,36133,3000,45,60
786367807,1020208900,34541,3000,0,275
756986844,1020200300,34541,36000,5,800
756834419,1052000211,39651,15000,2,60
756826875,1020709300,39612,10000,18,467
786371268,1020500300,35951,10800,2,190
756884734,1020504300,32199,10000,2,280
756843201,1020602700,35781,3000,15,340
630320264,1020402600,36501,3000,8,1000
025322378,1020105600,35971,5000,8,75
786359388,1020709000,27401,3000,28,150
786318781,1020412600,23991,3000,2,120
756354355,1020708700,37141,10000,30,218
074761367,1020202600,39651,10000,4,80
786085361,1020219600,32703,10000,1,100
147310216,1044001035,34421,3000,4,539
786073243,1020304204,33621,3000,2,70
786370983,1020511900,35951,10000,3,291
786357802,1020517600,36629,20000,2,218
917324962,1020606900,33999,10000,0,45
756819619,1020204300,26402,25000,0,25
786393654,1020509800,20302,3000,40,100
786045945,1020517700,34431,10000,3,58
786078715,1052000407,37191,80000,8,449
905320946,1020201900,32231,15000,2,80
786392153,1020903500,20702,3000,0,10
756055688,1020708700,36199,5000,11,9
756310912,1020504300,20999,10000,1,30
756003386,1021201900,23911,1000,10,620
756008982,1020901600,23991,0,1,22
756826082,1021101300,35799,10000,10,11706
786302452,1020108005,37191,10000,1,70
786046913,1020512500,35951,5000,2,531
786356452,1020505200,32231,10000,1,260
786315001,1020513300,25121,20000,1,840
756000679,1020107900,35641,3500,15,270
304324543,1020513900,39621,3000,6,8
878329505,1020304205,28271,99000,0,38
756815049,1020708400,35771,5000,4,15
756923114,1021002900,25111,10000,0,44
786049029,1038000105,37909,10000,40,20
444320711,1021201500,35991,0,12,48
756368442,1044000208,35951,9000,354,3
756041157,1020204300,22606,3000,1,730
786390623,1020509000,39652,15000,13,77
756946149,1020510200,35991,3000,7,140
727319259,1020510000,39651,0,1,2341
786039466,1020214400,35951,10000,0,530
756992742,1020301506,25911,6000,0,290
756052358,1020411800,39651,10000,1,49
786308136,1052000201,20523,10000,4,159
756903102,1020900600,36803,3000,5,306
786037452,1020201900,36501,10000,23,350
786325474,1020300102,39611,5000,3,510
756031011,1052000410,35991,3000,2,32
410310308,1020214500,20999,10000,70,170
786024725,1020506200,34541,36000,11,80
756305570,1020515200,39662,10000,8,90
048322750,1052000103,34431,3500,10,361
786340592,1020708600,27401,5000,2,300
756812172,1038000105,39881,0,37,110
786041585,1020518900,26402,10000,1,639
756359876,1020410400,20951,10000,15,75
756064709,1021003000,35951,15000,5,570
756852588,1020515500,27401,10000,7,12
786388067,1052000411,27401,10000,3,316
756048116,1020505200,34431,3000,1,27
786032974,1020303301,27401,3000,1,190
756062085,1020409500,33134,3000,8,110
756372876,1020408301,32231,16220,4,130
786320312,1020202600,28271,40000,3,20
756309362,1052000209,35951,30000,21,290
786040462,1020515500,39698,10000,0,60
786383436,1020408400,34999,3900,40,280
786330802,1020516700,35971,20000,1,150
756385137,1020107705,39631,3000,14,15
877318905,1021102400,39651,3000,4,25
756052051,1052000404,34411,10000,0,540
786047573,1020108101,34521,4000,32,30
257329979,1020408902,20701,3000,3,63
756008225,1046000415,35991,5000,195,30
756036235,1020203100,34541,10000,4,2000
844328793,1020607500,34431,10000,0,2008
786385905,1020204000,28524,5000,2,50
786343820,1020100601,34431,30000,16,5
756020414,1020305700,36133,10000,4,550
786391902,1020505200,38219,20000,1,65
786047426,1020208000,35991,480000,1,30
756008683,1020218500,22607,3000,1,65
855305459,1038000301,25301,3000,4,36
786330056,1020410500,36621,424000,30,30
786314156,1020110600,20519,10000,55,80
756884195,1020800700,39652,5000,5,1388
870323887,1020411800,36199,3000,2,2000
670318176,1020208000,27501,10000,8,2423
756054305,1020222800,36801,3000,10,9
786398682,1038000219,34801,3000,7,600
768320243,1020515500,20111,10000,15,17
307324282,1052000105,20999,6000,6,100
756874082,1021003200,34431,10000,12,45
253315871,1020200800,34541,3000,15,45
786026559,1021201300,20821,10000,19,3
786396846,1034000502,20999,8000,5,319
756042997,1020603000,34431,10000,3,57
756618912,1020205200,23201,20000,2,424
756381499,1020405900,22412,3000,42,180
786334340,1020405900,35781,3000,1,45
786085924,1021000400,34431,3000,8,90
786320452,1020412900,34431,5000,15,55
786398083,1021201900,39662,3000,3,50
756039856,1020504300,35951,4000,7,25
756090213,1020204600,37191,8000,60,587
756924153,1020800700,36133,4000,3,50
786356826,1020410500,34511,5000,15,774
786025210,1021201900,31601,3000,11,110
756968682,1020204300,36621,40000,29,40
756305453,1020513000,39651,13000,16,126
210328397,1020803600,27103,30000,12,100
786047459,1020900100,35951,2000,25,8
786362688,1052000302,38411,10000,2,98
959310097,1046000423,35991,10000,7,308
756073984,1020114300,34431,3000,5,15
032213782,1020107702,34431,10000,3,13
786396412,1020102501,33392,10000,2,5088
756006593,1046000402,27401,10000,3,1575
756822112,1020105700,35951,11800,2,395
