ＴＤＢ産業分類コード,日本標準産業分類_中分類名,日本標準産業分類_小分類コード,日本標準産業分類_小分類名
20111,食料品製造業,091,畜産食料品製造業
20121,食料品製造業,091,畜産食料品製造業
20199,食料品製造業,091,畜産食料品製造業
20202,食料品製造業,092,水産食料品製造業
20209,食料品製造業,092,水産食料品製造業
20301,食料品製造業,093,野菜缶詰・果実缶詰・農産保存食料品製造業
20302,食料品製造業,093,野菜缶詰・果実缶詰・農産保存食料品製造業
20401,食料品製造業,094,調味料製造業
20403,食料品製造業,094,調味料製造業
20404,食料品製造業,094,調味料製造業
20409,食料品製造業,094,調味料製造業
20519,食料品製造業,096,精穀・製粉業
20521,飲料・たばこ・飼料製造業,106,飼料・有機質肥料製造業
20523,飲料・たばこ・飼料製造業,106,飼料・有機質肥料製造業
20701,食料品製造業,097,パン・菓子製造業
20702,食料品製造業,097,パン・菓子製造業
20703,食料品製造業,097,パン・菓子製造業
20704,食料品製造業,097,パン・菓子製造業
20709,食料品製造業,097,パン・菓子製造業
20811,飲料・たばこ・飼料製造業,102,酒類製造業
20812,飲料・たばこ・飼料製造業,102,酒類製造業
20813,飲料・たばこ・飼料製造業,102,酒類製造業
20821,飲料・たばこ・飼料製造業,101,清涼飲料製造業
20912,食料品製造業,098,動植物油脂製造業
20941,食料品製造業,099,その他の食料品製造業
20951,食料品製造業,099,その他の食料品製造業
20991,食料品製造業,099,その他の食料品製造業
20994,食料品製造業,099,その他の食料品製造業
20995,食料品製造業,099,その他の食料品製造業
20996,食料品製造業,099,その他の食料品製造業
20998,飲料・たばこ・飼料製造業,103,茶・コーヒー製造業（清涼飲料を除く）
20999,食料品製造業,099,その他の食料品製造業
22311,繊維工業,112,織物業
22312,繊維工業,112,織物業
22331,繊維工業,112,織物業
22399,繊維工業,112,織物業
22411,繊維工業,115,綱・網・レース・繊維粗製品製造業
22412,繊維工業,115,綱・網・レース・繊維粗製品製造業
22413,繊維工業,115,綱・網・レース・繊維粗製品製造業
22501,繊維工業,113,ニット生地製造業
22503,繊維工業,113,ニット生地製造業
22601,繊維工業,114,染色整理業
22603,繊維工業,114,染色整理業
22604,繊維工業,114,染色整理業
22605,繊維工業,114,染色整理業
22606,繊維工業,114,染色整理業
22607,繊維工業,114,染色整理業
22608,繊維工業,114,染色整理業
22701,繊維工業,111,製糸業、紡績業、化学繊維・ねん糸等製造業
22911,繊維工業,115,綱・網・レース・繊維粗製品製造業
22921,繊維工業,119,その他の繊維製品製造業
22971,繊維工業,119,その他の繊維製品製造業
22999,繊維工業,115,綱・網・レース・繊維粗製品製造業
23101,繊維工業,116,外衣・シャツ製造業（和式を除く）
23201,繊維工業,116,外衣・シャツ製造業（和式を除く）
23202,繊維工業,116,外衣・シャツ製造業（和式を除く）
23203,繊維工業,116,外衣・シャツ製造業（和式を除く）
23301,繊維工業,116,外衣・シャツ製造業（和式を除く）
23402,繊維工業,116,外衣・シャツ製造業（和式を除く）
23406,繊維工業,117,下着類製造業
23407,繊維工業,117,下着類製造業
23408,繊維工業,116,外衣・シャツ製造業（和式を除く）
23701,繊維工業,118,和装製品・その他の衣服・繊維製身の回り品製造業
23801,繊維工業,118,和装製品・その他の衣服・繊維製身の回り品製造業
23804,繊維工業,118,和装製品・その他の衣服・繊維製身の回り品製造業
23805,繊維工業,118,和装製品・その他の衣服・繊維製身の回り品製造業
23808,繊維工業,116,外衣・シャツ製造業（和式を除く）
23911,繊維工業,119,その他の繊維製品製造業
23921,繊維工業,119,その他の繊維製品製造業
23991,繊維工業,119,その他の繊維製品製造業
23999,繊維工業,119,その他の繊維製品製造業
24111,木材・木製品製造業（家具を除く）,121,製材業、木製品製造業
24112,木材・木製品製造業（家具を除く）,122,造作材・合板・建築用組立材料製造業
24122,木材・木製品製造業（家具を除く）,121,製材業、木製品製造業
24125,木材・木製品製造業（家具を除く）,121,製材業、木製品製造業
24211,木材・木製品製造業（家具を除く）,122,造作材・合板・建築用組立材料製造業
24221,木材・木製品製造業（家具を除く）,122,造作材・合板・建築用組立材料製造業
24222,木材・木製品製造業（家具を除く）,122,造作材・合板・建築用組立材料製造業
24224,木材・木製品製造業（家具を除く）,122,造作材・合板・建築用組立材料製造業
24303,木材・木製品製造業（家具を除く）,123,木製容器製造業（竹、とうを含む）
24901,木材・木製品製造業（家具を除く）,129,その他の木製品製造業（竹、とうを含む）
24909,木材・木製品製造業（家具を除く）,129,その他の木製品製造業（竹、とうを含む）
25111,家具・装備品製造業,131,家具製造業
25121,家具・装備品製造業,131,家具製造業
25201,家具・装備品製造業,132,宗教用具製造業
25301,家具・装備品製造業,133,建具製造業
25911,家具・装備品製造業,139,その他の家具・装備品製造業
25992,家具・装備品製造業,139,その他の家具・装備品製造業
25999,家具・装備品製造業,139,その他の家具・装備品製造業
26201,パルプ・紙・紙加工品製造業,143,加工紙製造業
26202,パルプ・紙・紙加工品製造業,143,加工紙製造業
26301,パルプ・紙・紙加工品製造業,144,紙製品製造業
26309,パルプ・紙・紙加工品製造業,144,紙製品製造業
26402,パルプ・紙・紙加工品製造業,145,紙製容器製造業
26403,パルプ・紙・紙加工品製造業,145,紙製容器製造業
26904,パルプ・紙・紙加工品製造業,149,その他のパルプ・紙・紙加工品製造業
26909,パルプ・紙・紙加工品製造業,149,その他のパルプ・紙・紙加工品製造業
27103,映像・音声・文字情報制作業,413,新聞業
27201,映像・音声・文字情報制作業,414,出版業
27401,印刷・同関連業,151,印刷業
27501,印刷・同関連業,153,製本業、印刷物加工業
27502,印刷・同関連業,153,製本業、印刷物加工業
27901,印刷・同関連業,152,製版業
27902,印刷・同関連業,159,印刷関連サービス業
28161,化学工業,162,無機化学工業製品製造業
28199,化学工業,162,無機化学工業製品製造業
28231,化学工業,163,有機化学工業製品製造業
28261,化学工業,163,有機化学工業製品製造業
28271,化学工業,163,有機化学工業製品製造業
28299,化学工業,163,有機化学工業製品製造業
28522,化学工業,164,油脂加工製品・石けん・合成洗剤・界面活性剤・塗料製造業
28524,化学工業,164,油脂加工製品・石けん・合成洗剤・界面活性剤・塗料製造業
28702,化学工業,165,医薬品製造業
28703,化学工業,165,医薬品製造業
28911,化学工業,166,化粧品・歯磨・その他の化粧用調整品製造業
28931,化学工業,169,その他の化学工業
28941,化学工業,169,その他の化学工業
28991,化学工業,169,その他の化学工業
28993,化学工業,169,その他の化学工業
28999,化学工業,169,その他の化学工業
29301,石油製品・石炭製品製造業,174,舗装材料製造業
29909,石油製品・石炭製品製造業,179,その他の石油製品・石炭製品製造業
30201,ゴム製品製造業,192,ゴム製・プラスチック製履物・同附属品製造業
30202,ゴム製品製造業,192,ゴム製・プラスチック製履物・同附属品製造業
30603,ゴム製品製造業,193,ゴムベルト・ゴムホース・工業用ゴム製品製造業
30994,ゴム製品製造業,199,その他のゴム製品製造業
30999,ゴム製品製造業,199,その他のゴム製品製造業
31601,なめし革・同製品・毛皮製造業,206,かばん製造業
31701,なめし革・同製品・毛皮製造業,207,袋物製造業
31909,なめし革・同製品・毛皮製造業,209,その他のなめし革製品製造業
32151,窯業・土石製品製造業,211,ガラス・同製品製造業
32191,窯業・土石製品製造業,211,ガラス・同製品製造業
32199,窯業・土石製品製造業,211,ガラス・同製品製造業
32221,窯業・土石製品製造業,212,セメント・同製品製造業
32229,窯業・土石製品製造業,212,セメント・同製品製造業
32231,窯業・土石製品製造業,212,セメント・同製品製造業
32301,窯業・土石製品製造業,213,建設用粘土製品製造業（陶磁器製を除く）
32302,窯業・土石製品製造業,213,建設用粘土製品製造業（陶磁器製を除く）
32411,窯業・土石製品製造業,214,陶磁器・同関連製品製造業
32509,窯業・土石製品製造業,215,耐火物製造業
