企業管理コード,従業員数,所在地_市区郡コード,所在地_都道府県名,決算期年,売上高_百万円
A00115478,102,29400,奈良県,2018,337
A00115478,102,29400,奈良県,2019,258
A00116790,91,38201,愛媛県,2018,335
A00116790,91,38201,愛媛県,2019,315
A03112202,88,40137,福岡県,2018,271
A03112202,88,40137,福岡県,2019,292
A04122570,103,27127,大阪府,2018,263
A04122570,103,27127,大阪府,2019,397
A04122803,53,13107,東京都,2018,289
A04122803,53,13107,東京都,2019,308
A04122913,-,45201,宮崎県,2018,348
A04122913,-,45201,宮崎県,2019,308
A05122064,130,24212,三重県,2018,258
A05122064,130,24212,三重県,2019,325
A07123469,189,02400,青森県,2018,279
A07123469,189,02400,青森県,2019,285
A08018618,4,22214,静岡県,2018,261
A08018618,4,22214,静岡県,2019,273
A08078487,174,10201,群馬県,2018,314
A08078487,174,10201,群馬県,2019,312
A08081571,-,22101,静岡県,2018,288
A08081571,-,22101,静岡県,2019,254
A08086569,159,10204,群馬県,2018,324
A08086569,159,10204,群馬県,2019,293
A08100410,245,41203,佐賀県,2018,300
A08100410,245,41203,佐賀県,2019,296
A08104405,-,34207,広島県,2018,277
A08104405,-,34207,広島県,2019,269
A08126580,204,40203,福岡県,2018,307
A08126580,204,40203,福岡県,2019,331
A08128415,171,34207,広島県,2018,331
A08128415,171,34207,広島県,2019,305
A08130453,4,40203,福岡県,2018,280
A08130453,4,40203,福岡県,2019,269
A08144045,68,34207,広島県,2018,290
A08144045,68,34207,広島県,2019,282
A08179573,167,01206,北海道,2018,306
A08179573,167,01206,北海道,2019,302
A08184126,24,22103,静岡県,2018,305
A08184126,24,22103,静岡県,2019,270
A08502994,110,30201,和歌山県,2018,301
A08502994,110,30201,和歌山県,2019,284
A08507584,190,34205,広島県,2018,255
A08507584,190,34205,広島県,2019,302
A08507655,-,01223,北海道,2018,270
A08507655,-,01223,北海道,2019,278
A08514558,235,01920,北海道,2018,332
A08514558,235,01920,北海道,2019,280
A08548747,91,01820,北海道,2018,267
A08548747,91,01820,北海道,2019,315
A08570140,143,22212,静岡県,2018,293
A08570140,143,22212,静岡県,2019,375
A08570230,53,34207,広島県,2018,315
A08570230,53,34207,広島県,2019,290
A08584400,-,10208,群馬県,2018,332
A08584400,-,10208,群馬県,2019,302
A08584511,117,34205,広島県,2018,285
A08584511,117,34205,広島県,2019,277
