企業管理コード,所在地_都道府県,従業員数,決算期年,売上高_百万円,売上高利益率
A08179573,01_北海道,167,2018,306,-0.0001
A08179573,,167,2019,302,0.0021
A08507655,,0,2018,270,0.004
A08507655,,0,2019,278,0.0026
A08514558,,235,2018,332,0.0031
A08514558,,235,2019,280,0.0041
A08548747,,91,2018,267,0.0003
A08548747,,91,2019,315,0.0007
A08548747,,91,2018,267,0.0003
A08548747,,91,2019,315,0.0007
A08585826,,100,2018,299,0.0058
A08585826,,100,2019,267,0.0059
A15117793,,69,2018,281,0.0021
A15117793,,69,2019,300,0.0025
A28144276,,0,2018,329,0.0023
A28144276,,0,2019,311,-0.0009
A28501659,,134,2018,329,0.0006
A28501659,,134,2019,301,0.0055
A28538361,,144,2018,319,0.0036
A28538361,,144,2019,278,0.0019
A38127641,,122,2018,280,0.0022
A38127641,,122,2019,342,0.0037
A38572943,,122,2018,285,0.0022
A38572943,,122,2019,291,0.0058
A38576189,,137,2018,245,0.0067
A38576189,,137,2019,319,0.0025
A42128109,,31,2018,326,0.0034
A42128109,,31,2019,332,0.0034
A48703666,,154,2018,257,0.0035
A48703666,,154,2019,325,0.0032
A48833027,,91,2018,298,0.0066
A48833027,,91,2019,337,0.0053
A48982614,,0,2018,323,0.0012
A48982614,,0,2019,253,0.0032
A56231550,,45,2018,327,0.0004
A56231550,,45,2019,287,0.005
A68111149,,162,2018,321,0.0051
A68111149,,162,2019,293,0.0057
A68146638,,52,2018,358,0.0034
A68146638,,52,2019,290,0.0043
A73115521,,166,2018,274,0.0028
A73115521,,166,2019,323,0.0014
A75122406,,176,2018,289,0
A75122406,,176,2019,293,0.0052
A88110491,,176,2018,303,0.0007
A88110491,,176,2019,267,0.0033
A90114236,,144,2018,250,0.0083
A90114236,,144,2019,324,0.0021
A07123469,02_青森県,189,2018,279,0.0052
A07123469,,189,2019,285,0.0023
A08620455,,0,2018,279,0.0018
A08620455,,0,2019,304,0.0045
A20112794,,111,2018,289,0.004
A20112794,,111,2019,266,-0.0004
A29120480,,60,2018,334,0.0038
A29120480,,60,2019,256,0.0038
A48167709,,152,2018,277,0.0037
A48167709,,152,2019,284,0.0044
A48563905,,72,2018,284,0.0024
A48563905,,72,2019,250,0
A48563905,,72,2018,284,0.0024
A48563905,,72,2019,250,0
A56335881,,0,2018,218,0.004
A56335881,,0,2019,362,0.0017
A68174320,03_岩手県,141,2018,300,0.0054
A68174320,,141,2019,287,0.0032
A74128147,,112,2018,309,0.0035
A74128147,,112,2019,308,0.0031
A09114020,04_宮城県,82,2018,279,0.0055
A09114020,,82,2019,270,0.003
A86122878,,91,2018,234,0.0027
A86122878,,91,2019,327,0.0014
A98014092,,0,2018,300,0.0033
A98014092,,0,2019,335,0.0013
A98205461,,62,2018,316,0.0057
A98205461,,62,2019,274,0.0012
A98418901,,60,2018,361,0.0031
A98418901,,60,2019,316,0.002
A98435397,,157,2018,274,0.0019
A98435397,,157,2019,288,0.0023
A98460293,,0,2018,284,0.0045
A98460293,,0,2019,267,0.0036
A98468872,,0,2018,307,0.0059
A98468872,,0,2019,272,0.0056
A98801100,,103,2018,285,0.0023
A98801100,,103,2019,324,0.0038
A98823023,,41,2018,274,0.0067
A98823023,,41,2019,313,0.0065
A98851451,,63,2018,273,0.0027
A98851451,,63,2019,274,-0.0008
A28004912,05_秋田県,79,2018,273,0.001
A28004912,,79,2019,253,0.0038
A28044164,,88,2018,290,0.0019
A28044164,,88,2019,272,0.0017
A56129168,,69,2018,224,0.0009
A56129168,,69,2019,263,0.0007
