平成２１年,人口動態調査,,
２Ａ　中巻　総覧　第２表－０１,人口動態総覧，都道府県（北海道）；保健所・市区町村別
,出生数,（再掲）,死亡数,（再掲）, ,死産数, ,周産期死亡, , ,婚姻件数,離婚件数
,　　　,2500g未満,　　　,乳児死亡数,新生児,自然死産,人工死産,総　数,22週以後,早期新生児,　　　,　　　
,,,,,死亡数,,,,の死産数,死亡数,,
０１北海道　　,40165,3670,53221,89,40,569,792,178,147,31,28271,12294
　　札幌市　　,14506,1291,14506,33,14,175,293,59,50,9,11225,4595
　　その他の市,18315,1729,26170,48,23,276,363,87,66,21,12516,5740
　　郡　部　　,7344,650,12545,8,3,118,136,32,31,1,4530,1959
0110札幌市　　　　　　　,14506,1291,14506,33,14,175,293,59,50,9,　　　　...,　　　　...
0136小樽市　　　　　　　,729,68,1752,2,1,5,19,2,1,1,　　　　...,　　　　...
0137市立函館　　　　　　,1889,187,3322,2,1,28,59,5,4,1,　　　　...,　　　　...
0138旭川市　　　　　　　,2529,273,3422,7,5,45,56,16,12,4,　　　　...,　　　　...
0151江別　　　　　　　　,1203,109,1769,6,1,16,18,6,5,1,　　　　...,　　　　...
0153千歳　　　　　　　　,1870,149,1648,2,-,23,32,8,8,-,　　　　...,　　　　...
0154岩見沢　　　　　　　,1009,105,2271,2,-,9,18,3,3,-,　　　　...,　　　　...
0159滝川　　　　　　　　,739,73,1629,-,-,16,12,3,3,-,　　　　...,　　　　...
0161深川　　　　　　　　,196,19,524,-,-,-,2,-,-,-,　　　　...,　　　　...
0163富良野　　　　　　　,345,30,523,1,-,3,7,3,3,-,　　　　...,　　　　...
0165名寄　　　　　　　　,480,51,856,1,-,10,9,-,-,-,　　　　...,　　　　...
0167岩内　　　　　　　　,177,15,343,1,1,1,6,1,-,1,　　　　...,　　　　...
0168倶知安　　　　　　　,560,37,946,-,-,9,8,2,2,-,　　　　...,　　　　...
0169江差　　　　　　　　,164,13,363,-,-,-,3,-,-,-,　　　　...,　　　　...
0172渡島　　　　　　　　,849,70,1463,3,2,24,23,8,6,2,　　　　...,　　　　...
0173八雲　　　　　　　　,270,30,576,1,-,10,4,3,3,-,　　　　...,　　　　...
0175室蘭　　　　　　　　,1320,127,2470,5,3,21,31,8,6,2,　　　　...,　　　　...
0176苫小牧　　　　　　　,1857,179,2002,3,-,22,32,3,3,-,　　　　...,　　　　...
0177浦河　　　　　　　　,199,14,291,-,-,3,3,-,-,-,　　　　...,　　　　...
