平成２１年,人口動態調査,,
２Ａ　中巻　総覧　第２表－１３,人口動態総覧，都道府県（東京都）；保健所・市区町村別
,出生数,（再掲）,死亡数,（再掲）, ,死産数, ,周産期死亡, , ,婚姻件数,離婚件数
,　　　,2500g未満,　　　,乳児死亡数,新生児,自然死産,人工死産,総　数,22週以後,早期新生児,　　　,　　　
,,,,,死亡数,,,,の死産数,死亡数,,
１３東　京　　,106613,10088,98304,246,119,1118,1364,421,342,79,91028,26803
　　都区部　　,72743,6890,67555,157,80,787,973,291,237,54,67607,19146
　　市　部　　,33297,3130,29517,86,39,329,387,129,104,25,23049,7475
　　郡　部　　,573,68,1232,3,-,2,4,1,1,-,372,182
1364千代田　　　　　　　,380,43,348,2,1,4,5,3,2,1,　　　　...,　　　　...
1369中央区　　　　　　　,1316,123,784,5,4,15,20,7,4,3,　　　　...,　　　　...
1360みなと　　　　　　　,2353,240,1362,5,3,26,30,8,7,1,　　　　...,　　　　...
1362新宿区　　　　　　　,2193,166,2343,6,3,39,45,12,10,2,　　　　...,　　　　...
1366文京　　　　　　　　,1539,122,1438,1,-,13,17,6,6,-,　　　　...,　　　　...
1354台東　　　　　　　　,1185,120,1790,1,1,14,26,5,4,1,　　　　...,　　　　...
1367墨田区　　　　　　　,2045,190,2101,1,-,26,27,9,9,-,　　　　...,　　　　...
1368江東区　　　　　　　,4354,451,3410,14,5,40,61,17,13,4,　　　　...,　　　　...
1363品川区　　　　　　　,3142,315,2744,6,3,35,25,14,12,2,　　　　...,　　　　...
1355目黒区　　　　　　　,2074,199,1741,4,1,28,27,10,10,-,　　　　...,　　　　...
1356大田区　　　　　　　,5691,507,5651,14,6,54,59,20,14,6,　　　　...,　　　　...
1327世田谷　　　　　　　,6955,647,5783,13,6,71,88,35,31,4,　　　　...,　　　　...
1331渋谷区　　　　　　　,1647,155,1456,6,4,17,26,4,3,1,　　　　...,　　　　...
1361中野区　　　　　　　,2290,217,2277,3,2,23,30,6,4,2,　　　　...,　　　　...
1357杉並　　　　　　　　,3964,420,3896,4,2,42,42,9,8,1,　　　　...,　　　　...
1337池袋　　　　　　　　,1776,179,2212,3,3,20,27,8,6,2,　　　　...,　　　　...
1358北区　　　　　　　　,2389,223,3184,3,2,24,42,6,5,1,　　　　...,　　　　...
1342荒川区　　　　　　　,1581,152,1868,2,-,22,15,7,7,-,　　　　...,　　　　...
1359板橋区　　　　　　　,4346,402,4204,14,5,34,60,11,6,5,　　　　...,　　　　...
