平成２１年,人口動態調査,,
２Ａ　中巻　総覧　第２表－１４,人口動態総覧，都道府県（神奈川県）；保健所・市区町村別
,出生数,（再掲）,死亡数,（再掲）, ,死産数, ,周産期死亡, , ,婚姻件数,離婚件数
,　　　,2500g未満,　　　,乳児死亡数,新生児,自然死産,人工死産,総　数,22週以後,早期新生児,　　　,　　　
,,,,,死亡数,,,,の死産数,死亡数,,
１４神奈川　　,78057,7502,63745,187,101,956,802,379,311,68,54983,17763
　　横浜市　　,32111,3095,25544,81,52,370,317,163,125,38,22585,7134
　　川崎市　　,14276,1348,8783,32,21,181,121,77,64,13,10773,2713
　　その他の市,29579,2837,26583,70,26,373,338,124,108,16,20302,7330
　　郡　部　　,2091,222,2835,4,2,32,26,15,14,1,1323,586
1429横浜市　　　　　　　,32111,3095,25544,81,52,370,317,163,125,38,　　　　...,　　　　...
1416川崎　　　　　　　　,1794,158,2000,6,3,29,29,12,10,2,　　　　...,　　　　...
1419幸　　　　　　　　　,1578,142,1229,-,-,20,13,7,7,-,　　　　...,　　　　...
1420中原　　　　　　　　,2696,242,1260,9,5,31,15,17,13,4,　　　　...,　　　　...
1421高津　　　　　　　　,2378,222,1187,6,5,27,21,12,8,4,　　　　...,　　　　...
1422宮前　　　　　　　　,2248,220,1101,6,5,27,15,14,11,3,　　　　...,　　　　...
1423多摩　　　　　　　　,2075,223,1122,4,3,30,15,10,10,-,　　　　...,　　　　...
1424麻生　　　　　　　　,1507,141,884,1,-,17,13,5,5,-,　　　　...,　　　　...
1441横須賀市　　　　　　,2994,292,3910,3,-,33,38,13,13,-,　　　　...,　　　　...
1442相模原市　　　　　　,6097,613,4466,20,8,70,74,25,21,4,　　　　...,　　　　...
1443藤沢市　　　　　　　,3577,315,2725,9,4,45,30,14,11,3,　　　　...,　　　　...
1451平塚　　　　　　　　,2485,246,2636,3,1,34,21,6,5,1,　　　　...,　　　　...
1452鎌倉　　　　　　　　,1911,171,2501,2,-,29,20,6,6,-,　　　　...,　　　　...
1454小田原　　　　　　　,1776,196,2442,8,3,22,23,10,8,2,　　　　...,　　　　...
1456三崎　　　　　　　　,251,25,507,-,-,1,6,1,1,-,　　　　...,　　　　...
1457厚木　　　　　　　　,4361,388,3331,9,4,63,55,19,17,2,　　　　...,　　　　...
1458足柄上　　　　　　　,851,89,950,2,2,15,8,9,8,1,　　　　...,　　　　...
1460秦野　　　　　　　　,2110,210,1844,3,1,22,26,7,6,1,　　　　...,　　　　...
