平成２１年,人口動態調査,,
２Ａ　中巻　総覧　第２表－４７,人口動態総覧，都道府県(沖縄県)；保健所・市区町村別
,出生数,（再掲）,死亡数,（再掲）, ,死産数, ,周産期死亡, , ,婚姻件数,離婚件数
,　　　,2500g未満,　　　,乳児死亡数,新生児,自然死産,人工死産,総　数,22週以後,早期新生児,　　　,　　　
,,,,,死亡数,,,,の死産数,死亡数,,
４７沖　縄　　,16744,1930,9923,41,14,249,331,80,69,11,8989,3579
　　市　部　　,13192,1507,7459,29,10,201,261,64,56,8,7076,2811
　　郡　部　　,3552,423,2464,12,4,48,70,16,13,3,1913,768
4751北部　　　　　　　　,1084,121,945,5,3,19,37,11,8,3,　　　　...,　　　　...
4754中央　　　　　　　　,5041,538,2992,13,3,79,96,24,21,3,　　　　...,　　　　...
4755南部　　　　　　　　,3344,383,1854,11,4,52,64,18,15,3,　　　　...,　　　　...
4756宮古　　　　　　　　,579,64,617,1,-,11,7,5,5,-,　　　　...,　　　　...
4757八重山　　　　　　　,730,89,374,1,1,4,11,1,1,-,　　　　...,　　　　...
4758中部　　　　　　　　,5966,735,3141,10,3,84,116,21,19,2,　　　　...,　　　　...
47201那覇市　　　　　,3362,374,2262,10,2,61,72,19,17,2,2031,782
47205宜野湾市　　　　,1275,151,479,2,2,21,23,5,4,1,689,254
47207石垣市　　　　　,656,79,321,1,1,2,10,1,1,-,391,142
47208浦添市　　　　　,1535,147,573,2,1,17,20,5,4,1,756,270
47209名護市　　　　　,730,77,417,4,3,12,27,8,5,3,398,192
47210糸満市　　　　　,733,86,437,1,-,13,17,4,4,-,317,124
47211沖縄市　　　　　,1759,224,842,3,-,28,27,7,7,-,889,352
47212豊見城市　　　　,849,98,286,3,1,11,14,6,5,1,402,156
47213うるま市　　　　,1363,167,859,1,-,20,36,4,4,-,691,316
47214宮古島市　　　　,565,64,603,1,-,11,7,5,5,-,306,154
47215南城市　　　　　,365,40,380,1,-,5,8,-,-,-,206,69
47301国頭村　　　　　,36,3,73,1,-,-,1,-,-,-,22,19
47302大宜味村　　　　,18,2,48,-,-,-,-,-,-,-,11,7
47303東村　　　　　　,10,-,22,-,-,-,1,-,-,-,6,4
47306今帰仁村　　　　,98,18,106,-,-,1,3,1,1,-,43,23
47308本部町　　　　　,119,17,178,-,-,3,4,-,-,-,75,27
47311恩納村　　　　　,100,6,80,-,-,-,1,-,-,-,66,30
47313宜野座村　　　　,75,11,70,1,-,1,3,-,-,-,33,11
47314金武町　　　　　,136,14,113,-,-,2,2,1,1,-,89,22
47315伊江村　　　　　,41,2,51,-,-,-,-,-,-,-,25,12
47324読谷村　　　　　,438,58,251,-,-,6,8,1,1,-,225,101
47325嘉手納町　　　　,129,14,105,-,-,3,2,1,1,-,83,39
47326北谷町　　　　　,337,49,130,-,-,3,5,1,1,-,233,95
47327北中城村　　　　,181,17,107,1,-,-,5,-,-,-,92,41
47328中城村　　　　　,173,24,105,2,1,-,4,1,-,1,99,20
47329西原町　　　　　,389,46,195,3,2,6,7,4,3,1,201,83
47348与那原町　　　　,186,18,118,1,-,1,2,1,1,-,91,32
47350南風原町　　　　,510,60,201,1,-,13,9,1,1,-,200,91
47353渡嘉敷村　　　　,5,-,10,-,-,-,-,-,-,-,3,1
47354座間味村　　　　,13,1,5,-,-,1,-,-,-,-,6,1
47355粟国村　　　　　,10,-,11,-,-,-,-,-,-,-,5,1
47356渡名喜村　　　　,1,-,10,-,-,-,-,-,-,-,2,-
47357南大東村　　　　,16,-,9,-,-,-,1,-,-,-,5,2
47358北大東村　　　　,4,-,4,-,-,-,-,-,-,-,2,-
47359伊平屋村　　　　,16,1,17,-,-,3,-,2,2,-,5,6
47360伊是名村　　　　,16,1,33,-,-,-,1,-,-,-,9,-
47361久米島町　　　　,95,16,108,1,-,-,3,-,-,-,42,22
47362八重瀬町　　　　,312,35,237,1,1,3,7,2,1,1,186,57
47375多良間村　　　　,14,-,14,-,-,-,-,-,-,-,5,3
47381竹富町　　　　　,56,5,40,-,-,-,-,-,-,-,33,16
47382与那国町　　　　,18,5,13,-,-,2,1,-,-,-,16,2
