平成２２年,人口動態調査,,
２Ａ　中巻　総覧　第２表－０１,人口動態総覧，都道府県（北海道）；保健所・市区町村別
,出生数,（再掲）,死亡数,（再掲）, ,死産数, ,周産期死亡, , ,婚姻件数,離婚件数
,　　　,2500g未満,　　　,乳児死亡数,新生児,自然死産,人工死産,総　数,22週以後,早期新生児,　　　,　　　
,,,,,死亡数,,,,の死産数,死亡数,,
０１北海道　　,40158,3934,55404,84,41,512,748,171,138,33,28389,12596
　　札幌市　　,14739,1373,15482,26,15,171,272,60,49,11,11522,4727
　　その他の市,18085,1842,26800,48,23,242,364,82,63,19,12459,5885
　　郡　部　　,7334,719,13122,10,3,99,112,29,26,3,4408,1984
0110札幌市　　　　　　　,14739,1373,15482,26,15,171,272,60,49,11,　　　　...,　　　　...
0136小樽市　　　　　　　,733,78,1790,1,1,11,22,5,5,-,　　　　...,　　　　...
0137市立函館　　　　　　,1827,199,3424,9,4,26,58,9,5,4,　　　　...,　　　　...
0138旭川市　　　　　　　,2560,274,3580,2,-,30,57,10,10,-,　　　　...,　　　　...
0151江別　　　　　　　　,1192,116,1777,-,-,15,24,2,2,-,　　　　...,　　　　...
0153千歳　　　　　　　　,1854,188,1631,5,3,28,37,10,7,3,　　　　...,　　　　...
0154岩見沢　　　　　　　,1087,105,2373,1,-,14,16,6,6,-,　　　　...,　　　　...
0159滝川　　　　　　　　,707,73,1740,-,-,7,14,-,-,-,　　　　...,　　　　...
0161深川　　　　　　　　,197,24,508,-,-,-,1,-,-,-,　　　　...,　　　　...
0163富良野　　　　　　　,360,41,495,1,-,5,6,1,1,-,　　　　...,　　　　...
0165名寄　　　　　　　　,457,42,867,-,-,9,7,5,5,-,　　　　...,　　　　...
0167岩内　　　　　　　　,182,21,329,-,-,3,2,1,1,-,　　　　...,　　　　...
0168倶知安　　　　　　　,564,45,1059,-,-,5,12,1,1,-,　　　　...,　　　　...
0169江差　　　　　　　　,156,16,420,-,-,3,3,-,-,-,　　　　...,　　　　...
0172渡島　　　　　　　　,807,70,1496,3,-,13,25,3,3,-,　　　　...,　　　　...
0173八雲　　　　　　　　,284,31,597,-,-,4,6,2,2,-,　　　　...,　　　　...
0175室蘭　　　　　　　　,1334,136,2538,7,5,24,21,11,6,5,　　　　...,　　　　...
0176苫小牧　　　　　　　,1780,178,1999,5,3,30,23,9,8,1,　　　　...,　　　　...
0177浦河　　　　　　　　,184,19,304,1,1,-,1,1,-,1,　　　　...,　　　　...
