平成２２年,人口動態調査,,
２Ａ　中巻　総覧　第２表－１３,人口動態総覧，都道府県（東京都）；保健所・市区町村別
,出生数,（再掲）,死亡数,（再掲）, ,死産数, ,周産期死亡, , ,婚姻件数,離婚件数
,　　　,2500g未満,　　　,乳児死亡数,新生児,自然死産,人工死産,総　数,22週以後,早期新生児,　　　,　　　
,,,,,死亡数,,,,の死産数,死亡数,,
１３東　京　　,108135,10147,104238,212,95,1143,1444,424,352,72,91196,26335
　　都区部　　,73740,6882,72069,136,59,805,1023,283,239,44,68035,18868
　　市　部　　,33806,3217,30866,73,33,334,411,136,110,26,22773,7294
　　郡　部　　,589,48,1303,3,3,4,10,5,3,2,388,173
1364千代田　　　　　　　,374,35,374,-,-,2,6,1,1,-,　　　　...,　　　　...
1369中央区　　　　　　　,1449,161,755,2,-,11,12,5,5,-,　　　　...,　　　　...
1360みなと　　　　　　　,2450,238,1411,8,3,27,44,12,10,2,　　　　...,　　　　...
1362新宿区　　　　　　　,2164,220,2450,2,1,23,47,6,5,1,　　　　...,　　　　...
1366文京　　　　　　　　,1630,155,1654,2,-,16,19,8,8,-,　　　　...,　　　　...
1354台東　　　　　　　　,1338,140,1941,3,1,16,21,3,2,1,　　　　...,　　　　...
1367墨田区　　　　　　　,2067,177,2331,1,1,28,32,5,4,1,　　　　...,　　　　...
1368江東区　　　　　　　,4393,394,3722,4,2,42,52,18,16,2,　　　　...,　　　　...
1363品川区　　　　　　　,3069,267,2924,6,2,30,38,6,5,1,　　　　...,　　　　...
1355目黒区　　　　　　　,2217,213,1823,2,1,30,32,8,7,1,　　　　...,　　　　...
1356大田区　　　　　　　,5527,518,5860,11,8,59,71,23,18,5,　　　　...,　　　　...
1327世田谷　　　　　　　,7280,678,5937,19,8,85,79,34,29,5,　　　　...,　　　　...
1331渋谷区　　　　　　　,1646,141,1573,1,1,29,28,9,8,1,　　　　...,　　　　...
1361中野区　　　　　　　,2293,226,2616,5,2,24,29,10,8,2,　　　　...,　　　　...
1357杉並　　　　　　　　,4088,423,4109,5,2,34,50,17,16,1,　　　　...,　　　　...
1337池袋　　　　　　　　,1797,171,2261,2,-,16,36,7,7,-,　　　　...,　　　　...
1358北区　　　　　　　　,2399,231,3436,3,1,24,31,8,7,1,　　　　...,　　　　...
1342荒川区　　　　　　　,1691,138,2022,3,2,12,22,4,3,1,　　　　...,　　　　...
1359板橋区　　　　　　　,4351,410,4637,12,3,52,68,18,16,2,　　　　...,　　　　...
