平成２２年,人口動態調査,,
２Ａ　中巻　総覧　第２表－１４,人口動態総覧，都道府県（神奈川県）；保健所・市区町村別
注：「14神奈川」の内訳の「相模原市」は平成２２年１月～１２月の合計であり、保健所は1402（４月～１２月）、1442（１月～３月）の合計、
　　市区町村は14151～14153（４月～１２月）、14209（１月～３月）の合計とそれぞれ一致する。
,出生数,（再掲）,死亡数,（再掲）, ,死産数, ,周産期死亡, , ,婚姻件数,離婚件数
,　　　,2500g未満,　　　,乳児死亡数,新生児,自然死産,人工死産,総　数,22週以後,早期新生児,　　　,　　　
,,,,,死亡数,,,,の死産数,死亡数,,
１４神奈川　　,78077,7508,67760,203,104,871,795,379,298,81,54203,17830
　　横浜市　　,32053,3077,27304,72,37,369,295,149,117,32,22305,7076
　　川崎市　　,14292,1317,9272,41,20,148,115,63,52,11,10828,2851
　　相模原市　,6036,623,4780,18,8,65,77,31,24,7,4129,1511
　　その他の市,23640,2293,23467,66,35,267,273,128,101,27,15624,5830
　　郡　部　　,2056,198,2937,6,4,22,35,8,4,4,1317,562
1429横浜市　　　　　　　,32053,3077,27304,72,37,369,295,149,117,32,　　　　...,　　　　...
1416川崎　　　　　　　　,1830,175,2016,4,1,17,22,9,8,1,　　　　...,　　　　...
1419幸　　　　　　　　　,1684,145,1264,5,3,13,12,4,2,2,　　　　...,　　　　...
1420中原　　　　　　　　,2709,264,1411,3,2,19,21,12,11,1,　　　　...,　　　　...
1421高津　　　　　　　　,2348,206,1265,7,4,30,17,15,13,2,　　　　...,　　　　...
1422宮前　　　　　　　　,2153,214,1048,10,4,32,21,10,9,1,　　　　...,　　　　...
1423多摩　　　　　　　　,2064,182,1177,7,3,24,15,9,6,3,　　　　...,　　　　...
1424麻生　　　　　　　　,1504,131,1091,5,3,13,7,4,3,1,　　　　...,　　　　...
1402相模原市　　　　　　,4597,486,3502,13,6,46,49,23,18,5,　　　　...,　　　　...
1441横須賀市　　　　　　,3054,301,4257,12,7,24,37,11,7,4,　　　　...,　　　　...
1442相模原市　　　　　　,1439,137,1278,5,2,19,28,8,6,2,　　　　...,　　　　...
1443藤沢市　　　　　　　,3566,315,2900,7,3,55,26,19,17,2,　　　　...,　　　　...
1451平塚　　　　　　　　,2469,265,2698,5,4,26,37,12,8,4,　　　　...,　　　　...
1452鎌倉　　　　　　　　,1914,155,2723,3,1,23,21,13,12,1,　　　　...,　　　　...
1454小田原　　　　　　　,1777,182,2494,5,3,17,29,10,8,2,　　　　...,　　　　...
