平成２２年,人口動態調査,,
２Ａ　中巻　総覧　第２表－４７,人口動態総覧，都道府県(沖縄県)；保健所・市区町村別
,出生数,（再掲）,死亡数,（再掲）, ,死産数, ,周産期死亡, , ,婚姻件数,離婚件数
,　　　,2500g未満,　　　,乳児死亡数,新生児,自然死産,人工死産,総　数,22週以後,早期新生児,　　　,　　　
,,,,,死亡数,,,,の死産数,死亡数,,
４７沖　縄　　,17098,1912,10156,46,13,255,305,70,65,5,8892,3580
　　市　部　　,13454,1507,7692,39,12,198,245,53,49,4,6994,2827
　　郡　部　　,3644,405,2464,7,1,57,60,17,16,1,1898,753
4751北部　　　　　　　　,1073,118,990,2,1,16,32,6,5,1,　　　　...,　　　　...
4754中央　　　　　　　　,5260,580,3122,16,4,76,90,19,19,-,　　　　...,　　　　...
4755南部　　　　　　　　,3404,366,1798,6,2,48,62,15,14,1,　　　　...,　　　　...
4756宮古　　　　　　　　,572,69,631,5,3,8,9,5,3,2,　　　　...,　　　　...
4757八重山　　　　　　　,737,73,405,3,1,9,13,3,3,-,　　　　...,　　　　...
4758中部　　　　　　　　,6052,706,3210,14,2,98,99,22,21,1,　　　　...,　　　　...
47201那覇市　　　　　,3625,387,2308,9,2,51,63,13,13,-,2101,736
47205宜野湾市　　　　,1278,142,478,5,2,19,15,8,7,1,711,246
47207石垣市　　　　　,653,65,361,3,1,9,12,3,3,-,328,133
47208浦添市　　　　　,1509,177,663,7,2,19,24,4,4,-,777,309
47209名護市　　　　　,765,86,453,1,1,13,24,5,4,1,393,174
47210糸満市　　　　　,733,85,455,2,1,5,11,1,1,-,340,151
47211沖縄市　　　　　,1704,203,828,6,-,23,38,5,5,-,877,389
47212豊見城市　　　　,869,95,311,1,-,14,21,5,5,-,355,142
47213うるま市　　　　,1404,162,865,-,-,30,20,4,4,-,637,306
47214宮古島市　　　　,558,68,614,5,3,8,9,5,3,2,281,154
47215南城市　　　　　,356,37,356,-,-,7,8,-,-,-,194,87
47301国頭村　　　　　,41,6,80,-,-,1,1,-,-,-,22,8
47302大宜味村　　　　,13,-,45,-,-,-,-,-,-,-,12,6
47303東村　　　　　　,14,3,24,-,-,-,1,-,-,-,7,6
47306今帰仁村　　　　,71,7,121,1,-,1,2,1,1,-,29,24
47308本部町　　　　　,125,10,178,-,-,1,4,-,-,-,65,36
47311恩納村　　　　　,87,8,101,-,-,1,2,1,1,-,64,28
47313宜野座村　　　　,74,9,57,-,-,2,-,1,1,-,27,8
47314金武町　　　　　,147,24,108,-,-,5,4,1,1,-,86,32
47315伊江村　　　　　,31,4,53,-,-,-,-,-,-,-,16,8
47324読谷村　　　　　,468,55,256,1,-,8,6,2,2,-,242,108
47325嘉手納町　　　　,138,16,122,-,-,3,-,-,-,-,79,26
47326北谷町　　　　　,345,40,170,1,-,6,7,-,-,-,223,84
47327北中城村　　　　,199,28,111,-,-,-,6,-,-,-,100,36
47328中城村　　　　　,208,19,114,1,-,1,1,-,-,-,125,38
47329西原町　　　　　,400,40,173,1,-,10,4,5,5,-,188,66
47348与那原町　　　　,217,20,116,-,-,5,4,1,1,-,109,37
47350南風原町　　　　,495,54,179,1,1,5,9,3,2,1,241,85
47353渡嘉敷村　　　　,10,2,12,-,-,-,-,-,-,-,2,2
47354座間味村　　　　,5,-,15,-,-,-,-,-,-,-,7,4
47355粟国村　　　　　,7,-,20,-,-,1,-,1,1,-,7,1
47356渡名喜村　　　　,1,-,4,-,-,-,-,-,-,-,2,-
47357南大東村　　　　,14,1,8,-,-,-,-,-,-,-,10,5
47358北大東村　　　　,1,1,4,-,-,-,1,-,-,-,2,1
47359伊平屋村　　　　,6,1,11,-,-,-,-,-,-,-,2,2
47360伊是名村　　　　,7,1,25,-,-,-,-,-,-,-,12,2
47361久米島町　　　　,88,12,88,-,-,5,2,1,1,-,37,21
47362八重瀬町　　　　,334,35,208,1,-,2,5,-,-,-,141,61
47375多良間村　　　　,14,1,17,-,-,-,-,-,-,-,3,2
47381竹富町　　　　　,59,5,28,-,-,-,1,-,-,-,29,12
47382与那国町　　　　,25,3,16,-,-,-,-,-,-,-,9,4
