平成２３年,人口動態調査,,
中巻　総覧　第２表－０１　人口動態総覧，都道府県（北海道）；保健所・市区町村別
,出生数,（再掲）,死亡数,（再掲）, ,死産数, ,周産期死亡, , ,婚姻件数,離婚件数
,　　　,2500g未満,　　　,乳児死亡数,新生児,自然死産,人工死産,総　数,22週以後,早期新生児,　　　,　　　
,,,,,死亡数,,,,の死産数,死亡数,,
０１北海道　　,39292,3804,56970,84,41,513,796,168,138,30,26518,11847
　　札幌市　　,14491,1392,15926,40,20,192,312,70,56,14,10576,4643
　　その他の市,17780,1773,27692,31,14,224,378,67,58,9,11795,5466
　　郡　部　　,7021,639,13352,13,7,97,106,31,24,7,4147,1738
0110札幌市　　　　　　　,14491,1392,15926,40,20,192,312,70,56,14,　　　　...,　　　　...
0136小樽市　　　　　　　,688,92,1882,3,-,6,15,1,1,-,　　　　...,　　　　...
0137市立函館　　　　　　,1774,172,3526,1,1,33,57,5,5,-,　　　　...,　　　　...
0138旭川市　　　　　　　,2578,230,3786,6,3,32,61,10,9,1,　　　　...,　　　　...
0151江別　　　　　　　　,1148,111,1852,2,1,23,26,5,5,-,　　　　...,　　　　...
0153千歳　　　　　　　　,1809,157,1626,3,3,19,42,6,3,3,　　　　...,　　　　...
0154岩見沢　　　　　　　,1028,100,2502,-,-,12,18,4,4,-,　　　　...,　　　　...
0159滝川　　　　　　　　,650,74,1634,-,-,12,10,7,7,-,　　　　...,　　　　...
0161深川　　　　　　　　,193,17,466,-,-,2,10,1,1,-,　　　　...,　　　　...
0163富良野　　　　　　　,356,33,453,-,-,2,6,-,-,-,　　　　...,　　　　...
0165名寄　　　　　　　　,496,43,891,2,2,8,8,5,4,1,　　　　...,　　　　...
0167岩内　　　　　　　　,182,23,407,1,1,5,4,3,2,1,　　　　...,　　　　...
0168倶知安　　　　　　　,524,51,1064,1,1,9,9,2,1,1,　　　　...,　　　　...
0169江差　　　　　　　　,151,21,380,-,-,1,3,-,-,-,　　　　...,　　　　...
0172渡島　　　　　　　　,824,67,1539,1,-,12,25,3,3,-,　　　　...,　　　　...
0173八雲　　　　　　　　,264,27,567,-,-,2,3,1,1,-,　　　　...,　　　　...
0175室蘭　　　　　　　　,1266,133,2570,5,2,7,18,7,5,2,　　　　...,　　　　...
0176苫小牧　　　　　　　,1732,163,2194,2,1,19,40,7,6,1,　　　　...,　　　　...
0177浦河　　　　　　　　,153,12,351,-,-,4,3,-,-,-,　　　　...,　　　　...
