平成２３年,人口動態調査,,
中巻　総覧　第２表－１３　人口動態総覧，都道府県（東京都）；保健所・市区町村別
,出生数,（再掲）,死亡数,（再掲）, ,死産数, ,周産期死亡, , ,婚姻件数,離婚件数
,　　　,2500g未満,　　　,乳児死亡数,新生児,自然死産,人工死産,総　数,22週以後,早期新生児,　　　,　　　
,,,,,死亡数,,,,の死産数,死亡数,,
１３東　京　　,106027,10064,105723,216,98,1140,1344,396,330,66,86888,24927
　　都区部　　,72995,6951,72612,158,72,810,980,275,228,47,65198,17680
　　市　部　　,32447,3058,31782,57,26,326,353,118,99,19,21293,7055
　　郡　部　　,585,55,1329,1,-,4,11,3,3,-,397,192
1364千代田　　　　　　　,376,31,376,-,-,5,4,1,1,-,　　　　...,　　　　...
1369中央区　　　　　　　,1414,147,840,5,3,12,14,7,6,1,　　　　...,　　　　...
1360みなと　　　　　　　,2361,266,1467,5,2,25,25,7,5,2,　　　　...,　　　　...
1362新宿区　　　　　　　,2103,196,2523,7,-,29,46,7,7,-,　　　　...,　　　　...
1366文京　　　　　　　　,1712,190,1588,6,-,16,27,1,1,-,　　　　...,　　　　...
1354台東　　　　　　　　,1313,133,1894,1,-,22,22,6,6,-,　　　　...,　　　　...
1367墨田区　　　　　　　,1971,183,2374,4,2,22,24,6,4,2,　　　　...,　　　　...
1368江東区　　　　　　　,4291,423,3539,6,4,48,63,19,18,1,　　　　...,　　　　...
1363品川区　　　　　　　,3216,316,2870,7,3,27,50,11,10,1,　　　　...,　　　　...
1355目黒区　　　　　　　,2178,178,1909,3,3,26,30,7,5,2,　　　　...,　　　　...
1356大田区　　　　　　　,5570,496,5949,16,6,72,69,21,17,4,　　　　...,　　　　...
1327世田谷　　　　　　　,7240,666,5887,20,12,70,80,28,18,10,　　　　...,　　　　...
1331渋谷区　　　　　　　,1674,151,1523,4,1,24,20,4,3,1,　　　　...,　　　　...
1361中野区　　　　　　　,2203,227,2610,7,3,18,27,8,5,3,　　　　...,　　　　...
1357杉並　　　　　　　　,4090,388,4116,6,3,41,51,15,12,3,　　　　...,　　　　...
1337池袋　　　　　　　　,1864,187,2414,4,1,16,23,9,8,1,　　　　...,　　　　...
1358北区　　　　　　　　,2328,239,3482,5,3,27,45,12,9,3,　　　　...,　　　　...
1342荒川区　　　　　　　,1733,167,1949,4,2,22,22,7,7,-,　　　　...,　　　　...
1359板橋区　　　　　　　,4359,375,4506,8,4,45,63,19,17,2,　　　　...,　　　　...
