平成２３年,人口動態調査,,
中巻　総覧　第２表－１４　人口動態総覧，都道府県（神奈川県）；保健所・市区町村別
,出生数,（再掲）,死亡数,（再掲）, ,死産数, ,周産期死亡, , ,婚姻件数,離婚件数
,　　　,2500g未満,　　　,乳児死亡数,新生児,自然死産,人工死産,総　数,22週以後,早期新生児,　　　,　　　
,,,,,死亡数,,,,の死産数,死亡数,,
１４神奈川　　,76000,7259,70946,209,111,820,886,325,243,82,50806,16792
　　横浜市　　,30733,2971,28249,83,41,321,359,119,92,27,20894,6697
　　川崎市　　,14307,1432,9686,39,21,153,150,51,36,15,10334,2512
　　相模原市　,5822,590,5045,14,7,50,68,19,13,6,3727,1436
　　その他の市,23150,2087,24860,68,40,270,273,123,91,32,14669,5564
　　郡　部　　,1988,179,3106,5,2,26,36,13,11,2,1182,583
1429横浜市　　　　　　　,30733,2971,28249,83,41,321,359,119,92,27,　　　　...,　　　　...
1416川崎市　川崎　　　　,1736,185,2117,2,-,24,27,5,5,-,　　　　...,　　　　...
1419川崎市　幸　　　　　,1631,160,1290,6,5,13,14,5,2,3,　　　　...,　　　　...
1420川崎市　中原　　　　,2637,271,1387,8,5,31,25,11,6,5,　　　　...,　　　　...
1421川崎市　高津　　　　,2389,243,1271,5,3,30,17,6,4,2,　　　　...,　　　　...
1422川崎市　宮前　　　　,2337,244,1263,8,2,19,25,6,5,1,　　　　...,　　　　...
1423川崎市　多摩　　　　,2055,189,1287,7,5,20,26,12,8,4,　　　　...,　　　　...
1424川崎市　麻生　　　　,1522,140,1071,3,1,16,16,6,6,-,　　　　...,　　　　...
1402相模原市　　　　　　,5822,590,5045,14,7,50,68,19,13,6,　　　　...,　　　　...
1441横須賀市　　　　　　,2988,276,4343,11,5,30,49,14,12,2,　　　　...,　　　　...
1443藤沢市　　　　　　　,3689,307,3152,16,10,53,24,29,22,7,　　　　...,　　　　...
1451平塚　　　　　　　　,2318,247,2948,6,2,34,34,10,8,2,　　　　...,　　　　...
1452鎌倉　　　　　　　　,1808,144,2759,3,2,23,11,11,10,1,　　　　...,　　　　...
1454小田原　　　　　　　,1689,149,2627,4,1,20,39,9,8,1,　　　　...,　　　　...
1456三崎　　　　　　　　,252,28,653,1,1,4,6,1,-,1,　　　　...,　　　　...
1457厚木　　　　　　　　,4244,391,3788,12,9,47,47,25,17,8,　　　　...,　　　　...
1458足柄上　　　　　　　,825,65,1036,-,-,8,14,5,5,-,　　　　...,　　　　...
