平成２３年,人口動態調査,,
中巻　総覧　第２表－４７　人口動態総覧，都道府県(沖縄県)；保健所・市区町村別
,出生数,（再掲）,死亡数,（再掲）, ,死産数, ,周産期死亡, , ,婚姻件数,離婚件数
,　　　,2500g未満,　　　,乳児死亡数,新生児,自然死産,人工死産,総　数,22週以後,早期新生児,　　　,　　　
,,,,,死亡数,,,,の死産数,死亡数,,
４７沖　縄　　,16918,1796,10686,40,21,271,285,73,59,14,8401,3570
　　市　部　　,13150,1418,8099,30,17,213,226,55,44,11,6561,2868
　　郡　部　　,3768,378,2587,10,4,58,59,18,15,3,1840,702
4751北部　　　　　　　　,1107,106,970,-,-,15,21,2,2,-,　　　　...,　　　　...
4754中央　　　　　　　　,5068,556,3205,12,8,78,82,25,20,5,　　　　...,　　　　...
4755南部　　　　　　　　,3430,368,1986,8,3,46,56,11,9,2,　　　　...,　　　　...
4756宮古　　　　　　　　,597,59,660,1,1,8,19,2,2,-,　　　　...,　　　　...
4757八重山　　　　　　　,699,79,465,2,1,18,19,1,1,-,　　　　...,　　　　...
4758中部　　　　　　　　,6017,628,3400,17,8,106,88,32,25,7,　　　　...,　　　　...
47201那覇市　　　　　,3386,371,2353,12,8,51,57,20,15,5,1865,759
47205宜野湾市　　　　,1312,118,548,3,2,21,19,10,8,2,658,242
47207石垣市　　　　　,629,74,414,2,1,16,13,1,1,-,302,157
47208浦添市　　　　　,1541,171,683,-,-,26,22,4,4,-,715,313
47209名護市　　　　　,758,79,455,-,-,12,16,2,2,-,356,142
47210糸満市　　　　　,723,79,488,1,-,4,14,2,2,-,314,134
47211沖縄市　　　　　,1692,194,913,5,4,33,25,8,5,3,827,408
47212豊見城市　　　　,834,90,302,3,1,16,15,3,2,1,365,152
47213うるま市　　　　,1326,137,891,3,-,24,21,3,3,-,659,335
47214宮古島市　　　　,586,59,647,1,1,8,18,2,2,-,309,151
47215南城市　　　　　,363,46,405,-,-,2,6,-,-,-,191,75
47301国頭村　　　　　,43,2,79,-,-,-,1,-,-,-,27,8
47302大宜味村　　　　,30,4,61,-,-,-,-,-,-,-,10,13
47303東村　　　　　　,7,1,14,-,-,-,-,-,-,-,7,4
47306今帰仁村　　　　,83,7,115,-,-,1,1,-,-,-,45,15
47308本部町　　　　　,123,9,142,-,-,2,3,-,-,-,55,26
47311恩納村　　　　　,112,9,92,-,-,1,1,-,-,-,71,18
47313宜野座村　　　　,72,9,65,1,-,2,-,-,-,-,32,5
47314金武町　　　　　,157,18,118,2,-,3,1,3,3,-,83,35
47315伊江村　　　　　,37,3,53,-,-,-,-,-,-,-,18,9
47324読谷村　　　　　,467,56,270,-,-,11,6,2,2,-,216,120
47325嘉手納町　　　　,139,19,132,-,-,3,-,1,1,-,84,33
47326北谷町　　　　　,344,34,156,1,1,4,9,2,1,1,199,77
47327北中城村　　　　,191,20,103,-,-,1,3,1,1,-,99,42
47328中城村　　　　　,205,14,112,2,1,3,3,2,1,1,98,28
47329西原町　　　　　,374,32,193,2,1,7,3,-,-,-,183,66
47348与那原町　　　　,251,34,125,1,-,4,6,-,-,-,125,41
47350南風原町　　　　,516,46,210,1,1,8,4,5,4,1,211,62
47353渡嘉敷村　　　　,6,-,5,-,-,-,-,-,-,-,5,2
47354座間味村　　　　,11,-,11,-,-,-,-,-,-,-,6,2
47355粟国村　　　　　,7,2,15,-,-,-,-,-,-,-,5,-
47356渡名喜村　　　　,3,-,6,-,-,-,-,-,-,-,2,-
47357南大東村　　　　,15,1,13,-,-,-,-,-,-,-,11,4
47358北大東村　　　　,6,-,3,-,-,-,-,-,-,-,4,1
47359伊平屋村　　　　,11,-,19,-,-,-,-,-,-,-,5,3
47360伊是名村　　　　,15,1,32,-,-,-,-,-,-,-,5,3
47361久米島町　　　　,93,11,116,-,-,1,3,1,1,-,43,13
47362八重瀬町　　　　,369,41,263,-,-,5,8,1,1,-,141,55
47375多良間村　　　　,11,-,13,-,-,-,1,-,-,-,2,2
47381竹富町　　　　　,58,4,36,-,-,1,4,-,-,-,35,12
47382与那国町　　　　,12,1,15,-,-,1,2,-,-,-,13,3
