平成２４年,人口動態調査,,
中巻　総覧　第２表－０１　人口動態総覧，都道府県（北海道）；保健所・市区町村別
,出生数,（再掲）,死亡数,（再掲）, ,死産数, ,周産期死亡, , ,婚姻件数,離婚件数
,　　　,2500g未満,　　　,乳児死亡数,新生児,自然死産,人工死産,総　数,22週以後,早期新生児,　　　,　　　
,,,,,死亡数,,,,の死産数,死亡数,,
０１北海道　　,38686,3764,58066,88,43,473,704,160,130,30,26538,11593
　　札幌市　　,14487,1379,16228,34,13,180,266,67,56,11,10859,4555
　　その他の市,17242,1752,28373,37,19,207,329,64,51,13,11617,5256
　　郡　部　　,6957,633,13465,17,11,86,109,29,23,6,4062,1782
0110札幌市　　　　　　　,14487,1379,16228,34,13,180,266,67,56,11,　　　　...,　　　　...
0136小樽市　　　　　　　,646,60,1903,1,1,6,14,2,2,-,　　　　...,　　　　...
0137市立函館　　　　　　,1697,168,3528,2,-,18,40,7,7,-,　　　　...,　　　　...
0138旭川市　　　　　　　,2449,249,3820,6,3,30,76,7,5,2,　　　　...,　　　　...
0151江別　　　　　　　　,1142,104,1892,2,1,14,18,2,2,-,　　　　...,　　　　...
0153千歳　　　　　　　　,1751,166,1754,4,4,16,41,8,5,3,　　　　...,　　　　...
0154岩見沢　　　　　　　,989,102,2469,6,4,8,13,6,3,3,　　　　...,　　　　...
0159滝川　　　　　　　　,576,65,1663,2,2,11,7,6,5,1,　　　　...,　　　　...
0161深川　　　　　　　　,167,22,565,-,-,6,1,-,-,-,　　　　...,　　　　...
0163富良野　　　　　　　,354,33,459,-,-,2,8,1,1,-,　　　　...,　　　　...
0165名寄　　　　　　　　,492,53,884,1,-,5,11,-,-,-,　　　　...,　　　　...
0167岩内　　　　　　　　,165,9,344,-,-,5,4,2,2,-,　　　　...,　　　　...
0168倶知安　　　　　　　,552,50,1054,3,2,6,16,4,2,2,　　　　...,　　　　...
0169江差　　　　　　　　,135,15,358,-,-,1,3,-,-,-,　　　　...,　　　　...
0172渡島　　　　　　　　,748,77,1516,2,1,4,14,3,2,1,　　　　...,　　　　...
0173八雲　　　　　　　　,256,19,564,-,-,5,3,1,1,-,　　　　...,　　　　...
0175室蘭　　　　　　　　,1302,143,2689,3,1,11,21,3,3,-,　　　　...,　　　　...
0176苫小牧　　　　　　　,1707,150,2265,8,2,22,33,10,9,1,　　　　...,　　　　...
0177浦河　　　　　　　　,164,13,294,-,-,4,3,-,-,-,　　　　...,　　　　...
