平成２４年,人口動態調査,,
中巻　総覧　第２表－１３　人口動態総覧，都道府県（東京都）；保健所・市区町村別
,出生数,（再掲）,死亡数,（再掲）, ,死産数, ,周産期死亡, , ,婚姻件数,離婚件数
,　　　,2500g未満,　　　,乳児死亡数,新生児,自然死産,人工死産,総　数,22週以後,早期新生児,　　　,　　　
,,,,,死亡数,,,,の死産数,死亡数,,
１３東　京　　,107401,10031,109194,236,117,1103,1222,400,314,86,89301,25329
　　都区部　　,74591,6859,74657,163,82,785,868,285,224,61,67518,18210
　　市　部　　,32200,3124,33224,73,35,315,349,115,90,25,21395,6941
　　郡　部　　,610,48,1313,-,-,3,5,-,-,-,388,178
1364千代田　　　　　　　,469,44,377,-,-,3,5,1,1,-,　　　　...,　　　　...
1369中央区　　　　　　　,1496,139,756,1,1,16,20,7,6,1,　　　　...,　　　　...
1360みなと　　　　　　　,2610,253,1491,5,3,26,24,14,12,2,　　　　...,　　　　...
1362新宿区　　　　　　　,2279,210,2471,4,2,31,27,12,10,2,　　　　...,　　　　...
1366文京　　　　　　　　,1693,152,1578,4,3,18,11,6,4,2,　　　　...,　　　　...
1354台東　　　　　　　　,1377,119,2030,-,-,7,22,-,-,-,　　　　...,　　　　...
1367墨田区　　　　　　　,2105,194,2412,4,3,29,19,13,11,2,　　　　...,　　　　...
1368江東区　　　　　　　,4319,389,3739,9,5,35,48,10,5,5,　　　　...,　　　　...
1363品川区　　　　　　　,3360,322,2910,10,5,42,32,18,16,2,　　　　...,　　　　...
1355目黒区　　　　　　　,2292,254,1958,6,2,34,31,8,7,1,　　　　...,　　　　...
1356大田区　　　　　　　,5546,473,6167,12,3,74,59,20,18,2,　　　　...,　　　　...
1327世田谷　　　　　　　,7435,657,6178,12,5,63,77,16,11,5,　　　　...,　　　　...
1331渋谷区　　　　　　　,1826,144,1549,5,2,20,18,5,3,2,　　　　...,　　　　...
1361中野区　　　　　　　,2288,237,2631,7,5,28,36,10,7,3,　　　　...,　　　　...
1357杉並　　　　　　　　,4150,423,4339,12,6,41,53,14,10,4,　　　　...,　　　　...
1337池袋　　　　　　　　,1914,164,2401,8,4,19,20,10,7,3,　　　　...,　　　　...
1358北区　　　　　　　　,2420,195,3480,2,1,23,25,9,8,1,　　　　...,　　　　...
1342荒川区　　　　　　　,1640,150,2000,2,1,10,17,6,5,1,　　　　...,　　　　...
1359板橋区　　　　　　　,4311,396,4897,15,8,48,46,23,17,6,　　　　...,　　　　...
