平成２４年,人口動態調査,,
中巻　総覧　第２表－１４　人口動態総覧，都道府県（神奈川県）；保健所・市区町村別
,出生数,（再掲）,死亡数,（再掲）, ,死産数, ,周産期死亡, , ,婚姻件数,離婚件数
,　　　,2500g未満,　　　,乳児死亡数,新生児,自然死産,人工死産,総　数,22週以後,早期新生児,　　　,　　　
,,,,,死亡数,,,,の死産数,死亡数,,
１４神奈川　　,75477,7325,71996,174,91,776,812,304,234,70,51530,16812
　　横浜市　　,30959,2964,28930,80,43,329,294,138,102,36,20990,6631
　　川崎市　　,14257,1348,9716,30,16,128,155,47,38,9,10549,2558
　　相模原市　,5769,613,5165,9,4,55,76,21,18,3,3790,1468
　　その他の市,22580,2196,25232,51,27,242,262,90,69,21,14996,5581
　　郡　部　　,1912,204,2953,4,1,22,25,8,7,1,1205,574
1429横浜市　　　　　　　,30959,2964,28930,80,43,329,294,138,102,36,　　　　...,　　　　...
1416川崎市　川崎　　　　,1803,175,2148,3,2,16,22,5,3,2,　　　　...,　　　　...
1419川崎市　幸　　　　　,1670,156,1331,6,2,7,16,3,2,1,　　　　...,　　　　...
1420川崎市　中原　　　　,2712,237,1370,2,2,28,25,9,8,1,　　　　...,　　　　...
1421川崎市　高津　　　　,2344,257,1287,7,3,28,33,12,11,1,　　　　...,　　　　...
1422川崎市　宮前　　　　,2247,226,1203,7,5,19,17,6,4,2,　　　　...,　　　　...
1423川崎市　多摩　　　　,1991,171,1283,4,2,21,27,10,8,2,　　　　...,　　　　...
1424川崎市　麻生　　　　,1490,126,1094,1,-,9,15,2,2,-,　　　　...,　　　　...
1402相模原市　　　　　　,5769,613,5165,9,4,55,76,21,18,3,　　　　...,　　　　...
1441横須賀市　　　　　　,2850,211,4427,8,5,35,48,14,11,3,　　　　...,　　　　...
1443藤沢市　　　　　　　,3607,343,3206,9,3,47,28,16,13,3,　　　　...,　　　　...
1451平塚　　　　　　　　,2286,243,2829,3,3,22,25,4,2,2,　　　　...,　　　　...
1452鎌倉　　　　　　　　,1846,175,2842,6,4,16,22,7,3,4,　　　　...,　　　　...
1454小田原　　　　　　　,1757,194,2709,5,3,13,23,9,6,3,　　　　...,　　　　...
1456三崎　　　　　　　　,196,16,605,-,-,1,5,-,-,-,　　　　...,　　　　...
1457厚木　　　　　　　　,4013,403,3813,9,5,46,49,20,16,4,　　　　...,　　　　...
1458足柄上　　　　　　　,755,87,1029,1,-,9,7,1,1,-,　　　　...,　　　　...
