平成２４年,人口動態調査,,
中巻　総覧　第２表－４７　人口動態総覧，都道府県(沖縄県)；保健所・市区町村別
,出生数,（再掲）,死亡数,（再掲）, ,死産数, ,周産期死亡, , ,婚姻件数,離婚件数
,　　　,2500g未満,　　　,乳児死亡数,新生児,自然死産,人工死産,総　数,22週以後,早期新生児,　　　,　　　
,,,,,死亡数,,,,の死産数,死亡数,,
４７沖　縄　　,17074,1979,10626,46,16,243,264,73,62,11,8842,3634
　　市　部　　,13346,1538,8105,37,12,180,204,53,46,7,6965,2852
　　郡　部　　,3728,441,2521,9,4,63,60,20,16,4,1877,782
4751北部　　　　　　　　,1041,133,980,2,2,12,29,5,4,1,　　　　...,　　　　...
4754中央　　　　　　　　,5179,565,3246,14,5,63,70,17,14,3,　　　　...,　　　　...
4755南部　　　　　　　　,3591,393,1897,12,4,56,53,7,4,3,　　　　...,　　　　...
4756宮古　　　　　　　　,619,62,608,2,1,8,14,4,4,-,　　　　...,　　　　...
4757八重山　　　　　　　,662,73,474,5,1,6,14,5,4,1,　　　　...,　　　　...
4758中部　　　　　　　　,5982,753,3421,11,3,98,84,35,32,3,　　　　...,　　　　...
47201那覇市　　　　　,3510,388,2470,12,4,46,50,13,11,2,2009,755
47205宜野湾市　　　　,1279,133,592,3,-,14,19,6,6,-,747,267
47207石垣市　　　　　,584,65,405,4,-,5,11,3,3,-,337,179
47208浦添市　　　　　,1542,162,636,2,1,16,17,3,2,1,736,274
47209名護市　　　　　,731,98,464,1,1,9,20,3,3,-,363,171
47210糸満市　　　　　,740,91,453,3,1,10,21,-,-,-,315,140
47211沖縄市　　　　　,1750,237,850,3,2,26,24,12,10,2,873,394
47212豊見城市　　　　,921,89,326,1,1,17,8,1,-,1,382,143
47213うるま市　　　　,1324,183,924,5,1,26,15,8,7,1,691,325
47214宮古島市　　　　,606,60,597,2,1,7,14,3,3,-,305,138
47215南城市　　　　　,359,32,388,1,-,4,5,1,1,-,207,66
47301国頭村　　　　　,35,4,73,1,1,-,-,1,-,1,20,14
47302大宜味村　　　　,15,-,52,-,-,1,-,-,-,-,7,2
47303東村　　　　　　,16,4,17,-,-,-,1,-,-,-,8,4
47306今帰仁村　　　　,81,8,121,-,-,-,2,-,-,-,40,18
47308本部町　　　　　,116,13,163,-,-,2,5,1,1,-,79,32
47311恩納村　　　　　,104,13,109,-,-,4,2,2,2,-,68,26
47313宜野座村　　　　,95,9,55,-,-,3,3,-,-,-,41,9
47314金武町　　　　　,129,14,94,-,-,6,1,3,3,-,78,19
47315伊江村　　　　　,28,2,51,-,-,-,-,-,-,-,12,13
47324読谷村　　　　　,476,70,255,-,-,7,6,2,2,-,204,113
47325嘉手納町　　　　,139,16,123,-,-,2,1,-,-,-,98,27
47326北谷町　　　　　,317,42,180,-,-,3,6,-,-,-,195,77
47327北中城村　　　　,175,15,108,-,-,4,4,1,1,-,90,45
47328中城村　　　　　,194,21,131,-,-,3,3,1,1,-,107,48
47329西原町　　　　　,388,45,200,2,-,7,4,1,1,-,174,71
47348与那原町　　　　,273,40,119,-,-,4,5,1,1,-,124,41
47350南風原町　　　　,554,52,201,1,1,7,3,1,-,1,252,100
47353渡嘉敷村　　　　,12,1,6,-,-,-,-,-,-,-,4,1
47354座間味村　　　　,11,1,8,-,-,1,-,1,1,-,3,3
47355粟国村　　　　　,1,-,13,-,-,-,1,-,-,-,9,2
47356渡名喜村　　　　,6,2,3,-,-,-,-,-,-,-,-,-
47357南大東村　　　　,13,1,14,-,-,-,-,-,-,-,13,3
47358北大東村　　　　,3,-,1,-,-,-,-,-,-,-,4,3
47359伊平屋村　　　　,6,2,21,-,-,-,-,-,-,-,3,2
47360伊是名村　　　　,13,2,18,-,-,-,1,-,-,-,3,1
47361久米島町　　　　,81,10,95,-,-,-,2,-,-,-,45,23
47362八重瀬町　　　　,356,44,210,4,1,7,7,2,1,1,156,66
47375多良間村　　　　,13,2,11,-,-,1,-,1,1,-,5,3
47381竹富町　　　　　,56,4,47,-,-,-,1,-,-,-,27,9
47382与那国町　　　　,22,4,22,1,1,1,2,2,1,1,8,7
