平成２５年,人口動態調査,,
中巻　総覧　第２表－０１　人口動態総覧，都道府県（北海道）；保健所・市区町村別
,出生数,（再掲）,死亡数,（再掲）, ,死産数, ,周産期死亡, , ,婚姻件数,離婚件数
,　　　,2500g未満,　　　,乳児死亡数,新生児,自然死産,人工死産,総　数,22週以後,早期新生児,　　　,　　　
,,,,,死亡数,,,,の死産数,死亡数,,
０１北海道　　,38190,3722,59432,85,43,398,736,138,104,34,26330,11285
　　札幌市　　,14591,1435,16844,34,17,145,303,48,35,13,10914,4413
　　その他の市,16960,1691,28669,39,20,189,320,70,54,16,11538,5209
　　郡　部　　,6639,596,13919,12,6,64,113,20,15,5,3878,1663
0110札幌市　　　　　　　,14591,1435,16844,34,17,145,303,48,35,13,　　　　...,　　　　...
0136小樽市　　　　　　　,641,65,1924,3,1,6,20,2,1,1,　　　　...,　　　　...
0137市立函館　　　　　　,1731,164,3586,2,2,14,41,8,6,2,　　　　...,　　　　...
0138旭川市　　　　　　　,2446,232,3909,6,3,30,65,13,11,2,　　　　...,　　　　...
0151江別　　　　　　　　,1113,117,1851,3,-,12,23,4,4,-,　　　　...,　　　　...
0153千歳　　　　　　　　,1744,155,1726,4,2,15,24,6,4,2,　　　　...,　　　　...
0154岩見沢　　　　　　　,968,85,2522,1,1,19,10,7,7,-,　　　　...,　　　　...
0159滝川　　　　　　　　,621,64,1716,-,-,7,12,1,1,-,　　　　...,　　　　...
0161深川　　　　　　　　,180,12,551,-,-,2,5,-,-,-,　　　　...,　　　　...
0163富良野　　　　　　　,337,26,519,1,1,3,9,1,1,-,　　　　...,　　　　...
0165名寄　　　　　　　　,427,43,956,3,1,4,11,2,1,1,　　　　...,　　　　...
0167岩内　　　　　　　　,152,24,357,-,-,2,1,-,-,-,　　　　...,　　　　...
0168倶知安　　　　　　　,518,42,1061,1,1,4,9,3,2,1,　　　　...,　　　　...
0169江差　　　　　　　　,142,14,387,-,-,1,3,-,-,-,　　　　...,　　　　...
0172渡島　　　　　　　　,733,57,1664,2,1,6,20,2,1,1,　　　　...,　　　　...
0173八雲　　　　　　　　,254,27,663,-,-,2,7,1,1,-,　　　　...,　　　　...
0175室蘭　　　　　　　　,1190,128,2537,4,1,11,19,2,2,-,　　　　...,　　　　...
0176苫小牧　　　　　　　,1711,168,2278,6,3,20,26,8,5,3,　　　　...,　　　　...
0177浦河　　　　　　　　,152,13,302,-,-,2,5,-,-,-,　　　　...,　　　　...
