平成２５年,人口動態調査,,
中巻　総覧　第２表－１３　人口動態総覧，都道府県（東京都）；保健所・市区町村別
,出生数,（再掲）,死亡数,（再掲）, ,死産数, ,周産期死亡, , ,婚姻件数,離婚件数
,　　　,2500g未満,　　　,乳児死亡数,新生児,自然死産,人工死産,総　数,22週以後,早期新生児,　　　,　　　
,,,,,死亡数,,,,の死産数,死亡数,,
１３東　京　　,109986,10352,110507,215,96,1131,1310,398,327,71,88067,24855
　　都区部　　,77107,7181,75332,158,73,796,924,278,227,51,67074,17867
　　市　部　　,32290,3111,33841,56,23,327,376,117,97,20,20659,6804
　　郡　部　　,589,60,1334,1,-,8,10,3,3,-,334,184
1364千代田　　　　　　　,463,54,390,1,-,7,5,-,-,-,　　　　...,　　　　...
1369中央区　　　　　　　,1671,132,802,7,4,25,14,8,7,1,　　　　...,　　　　...
1360みなと　　　　　　　,2621,260,1547,4,1,30,31,7,6,1,　　　　...,　　　　...
1362新宿区　　　　　　　,2312,207,2590,5,3,30,41,16,13,3,　　　　...,　　　　...
1366文京　　　　　　　　,1834,163,1613,3,3,19,22,13,10,3,　　　　...,　　　　...
1354台東　　　　　　　　,1416,135,1935,4,3,13,21,6,4,2,　　　　...,　　　　...
1367墨田区　　　　　　　,2127,180,2320,2,1,14,23,3,3,-,　　　　...,　　　　...
1368江東区　　　　　　　,4562,415,3727,9,4,38,48,18,15,3,　　　　...,　　　　...
1363品川区　　　　　　　,3506,325,3079,2,1,41,42,11,11,-,　　　　...,　　　　...
1355目黒区　　　　　　　,2342,202,1937,1,-,24,15,8,8,-,　　　　...,　　　　...
1356大田区　　　　　　　,5740,554,6181,21,8,63,54,29,22,7,　　　　...,　　　　...
1327世田谷　　　　　　　,7733,720,6438,13,8,71,67,24,18,6,　　　　...,　　　　...
1331渋谷区　　　　　　　,1909,164,1484,1,-,18,29,8,8,-,　　　　...,　　　　...
1361中野区　　　　　　　,2383,233,2610,10,4,18,36,8,6,2,　　　　...,　　　　...
1357杉並　　　　　　　　,4402,451,4393,9,5,54,71,17,12,5,　　　　...,　　　　...
1337池袋　　　　　　　　,2025,207,2357,5,3,27,27,7,5,2,　　　　...,　　　　...
1358北区　　　　　　　　,2619,242,3454,6,-,30,22,4,4,-,　　　　...,　　　　...
1342荒川区　　　　　　　,1765,177,2066,2,1,17,19,4,3,1,　　　　...,　　　　...
1359板橋区　　　　　　　,4418,413,4770,6,2,51,57,12,12,-,　　　　...,　　　　...
