平成２５年,人口動態調査,,
中巻　総覧　第２表－１４　人口動態総覧，都道府県（神奈川県）；保健所・市区町村別
,出生数,（再掲）,死亡数,（再掲）, ,死産数, ,周産期死亡, , ,婚姻件数,離婚件数
,　　　,2500g未満,　　　,乳児死亡数,新生児,自然死産,人工死産,総　数,22週以後,早期新生児,　　　,　　　
,,,,,死亡数,,,,の死産数,死亡数,,
１４神奈川　　,74320,6953,72970,149,81,799,820,281,222,59,49769,16587
　　横浜市　　,30181,2771,28959,57,33,318,296,119,92,27,20299,6679
　　川崎市　　,14286,1342,9984,33,16,137,132,47,37,10,10340,2529
　　相模原市　,5656,602,5215,14,6,69,77,21,16,5,3587,1414
　　その他の市,22362,2053,25646,42,24,240,287,85,70,15,14426,5380
　　郡　部　　,1835,185,3166,3,2,35,28,9,7,2,1117,585
1429横浜市　　　　　　　,30181,2771,28959,57,33,318,296,119,92,27,　　　　...,　　　　...
1416川崎市　川崎　　　　,1824,173,2110,8,4,20,23,7,5,2,　　　　...,　　　　...
1419川崎市　幸　　　　　,1685,164,1332,5,1,18,21,9,8,1,　　　　...,　　　　...
1420川崎市　中原　　　　,2773,293,1434,1,-,28,15,10,10,-,　　　　...,　　　　...
1421川崎市　高津　　　　,2367,193,1358,3,1,26,17,4,4,-,　　　　...,　　　　...
1422川崎市　宮前　　　　,2200,212,1318,6,4,15,21,4,2,2,　　　　...,　　　　...
1423川崎市　多摩　　　　,1936,172,1345,7,5,18,22,11,7,4,　　　　...,　　　　...
1424川崎市　麻生　　　　,1501,135,1087,3,1,12,13,2,1,1,　　　　...,　　　　...
1402相模原市　　　　　　,5656,602,5215,14,6,69,77,21,16,5,　　　　...,　　　　...
1441横須賀市　　　　　　,2718,242,4565,4,2,25,48,6,6,-,　　　　...,　　　　...
1443藤沢市　　　　　　　,3668,293,3315,3,3,41,36,12,10,2,　　　　...,　　　　...
1451平塚　　　　　　　　,2230,225,2897,4,3,31,23,12,9,3,　　　　...,　　　　...
1452鎌倉　　　　　　　　,1799,157,2807,3,1,30,17,8,7,1,　　　　...,　　　　...
1454小田原　　　　　　　,1579,148,2733,3,1,18,29,4,4,-,　　　　...,　　　　...
1456三崎　　　　　　　　,233,21,597,-,-,2,3,-,-,-,　　　　...,　　　　...
1457厚木　　　　　　　　,4055,389,3977,14,7,40,56,21,16,5,　　　　...,　　　　...
1458足柄上　　　　　　　,698,75,1108,1,-,7,13,1,1,-,　　　　...,　　　　...
