平成２５年,人口動態調査,,
中巻　総覧　第２表－４７　人口動態総覧，都道府県(沖縄県)；保健所・市区町村別
,出生数,（再掲）,死亡数,（再掲）, ,死産数, ,周産期死亡, , ,婚姻件数,離婚件数
,　　　,2500g未満,　　　,乳児死亡数,新生児,自然死産,人工死産,総　数,22週以後,早期新生児,　　　,　　　
,,,,,死亡数,,,,の死産数,死亡数,,
４７沖　縄　　,17209,1957,10956,30,23,219,224,77,66,11,8803,3651
　　市　部　　,13439,1508,8266,23,17,171,180,59,50,9,6812,2887
　　郡　部　　,3770,449,2690,7,6,48,44,18,16,2,1991,764
4731那覇市　　　　　　　,2652,273,1835,4,2,37,43,11,9,2,　　　　...,　　　　...
4751北部　　　　　　　　,1130,132,1069,1,1,7,14,3,2,1,　　　　...,　　　　...
4754中央　　　　　　　　,1205,116,862,1,1,15,17,10,9,1,　　　　...,　　　　...
4755南部　　　　　　　　,4893,535,2544,12,11,62,51,24,20,4,　　　　...,　　　　...
4756宮古　　　　　　　　,567,72,596,-,-,4,15,1,1,-,　　　　...,　　　　...
4757八重山　　　　　　　,727,67,447,1,1,10,12,3,2,1,　　　　...,　　　　...
4758中部　　　　　　　　,6035,762,3603,11,7,84,72,25,23,2,　　　　...,　　　　...
47201那覇市　　　　　,3495,350,2492,4,2,49,55,18,16,2,1902,789
47205宜野湾市　　　　,1282,153,547,5,3,15,13,7,6,1,683,276
47207石垣市　　　　　,666,63,402,1,1,9,10,2,1,1,334,173
47208浦添市　　　　　,1445,153,642,2,2,15,21,9,8,1,772,281
47209名護市　　　　　,763,87,497,1,1,6,12,2,1,1,373,146
47210糸満市　　　　　,837,90,474,3,3,14,3,6,5,1,319,146
47211沖縄市　　　　　,1751,232,927,4,2,25,19,8,8,-,843,389
47212豊見城市　　　　,934,100,326,1,1,12,8,2,1,1,355,134
47213うるま市　　　　,1320,171,1012,-,-,19,19,3,3,-,748,339
47214宮古島市　　　　,559,72,584,-,-,4,14,1,1,-,273,141
47215南城市　　　　　,387,37,363,2,2,3,6,1,-,1,210,73
47301国頭村　　　　　,36,5,85,-,-,-,-,-,-,-,31,10
47302大宜味村　　　　,24,1,56,-,-,-,-,-,-,-,15,8
47303東村　　　　　　,11,5,20,-,-,-,-,-,-,-,9,2
47306今帰仁村　　　　,85,11,109,-,-,-,-,-,-,-,46,20
47308本部町　　　　　,146,15,208,-,-,1,2,1,1,-,76,28
47311恩納村　　　　　,96,10,102,-,-,1,1,1,1,-,73,26
47313宜野座村　　　　,77,9,64,-,-,3,-,1,1,-,44,16
47314金武町　　　　　,170,15,117,-,-,3,3,1,1,-,85,38
47315伊江村　　　　　,36,3,59,-,-,-,-,-,-,-,21,5
47324読谷村　　　　　,471,54,280,-,-,9,10,2,2,-,232,109
47325嘉手納町　　　　,146,27,131,2,2,2,1,1,-,1,90,40
47326北谷町　　　　　,344,43,171,-,-,-,4,-,-,-,193,77
47327北中城村　　　　,161,23,127,-,-,1,2,-,-,-,98,38
47328中城村　　　　　,217,25,125,-,-,6,-,1,1,-,136,36
47329西原町　　　　　,375,39,192,1,-,5,9,2,2,-,202,67
47348与那原町　　　　,273,46,155,2,2,5,2,3,2,1,139,58
47350南風原町　　　　,516,62,170,-,-,5,5,2,2,-,230,80
47353渡嘉敷村　　　　,5,-,5,-,-,-,-,-,-,-,7,1
47354座間味村　　　　,7,2,9,1,1,-,-,-,-,-,10,-
47355粟国村　　　　　,5,1,23,-,-,-,-,-,-,-,3,-
47356渡名喜村　　　　,-,-,6,-,-,-,-,-,-,-,-,1
47357南大東村　　　　,14,1,10,-,-,-,-,-,-,-,9,6
47358北大東村　　　　,7,-,8,-,-,-,-,-,-,-,8,3
47359伊平屋村　　　　,14,3,13,-,-,-,-,-,-,-,5,1
47360伊是名村　　　　,15,2,22,-,-,-,-,-,-,-,9,1
47361久米島町　　　　,74,7,114,-,-,-,-,-,-,-,37,19
47362八重瀬町　　　　,376,36,252,1,1,6,2,2,2,-,150,57
47375多良間村　　　　,8,-,12,-,-,-,1,-,-,-,2,3
47381竹富町　　　　　,44,2,30,-,-,1,1,1,1,-,29,10
47382与那国町　　　　,17,2,15,-,-,-,1,-,-,-,2,4
