平成２６年,人口動態調査,,
中巻　総覧　第２表－０１　人口動態総覧，都道府県（北海道）；保健所・市区町村別
,出生数,（再掲）,死亡数,（再掲）, ,死産数, ,周産期死亡, , ,婚姻件数,離婚件数
,　　　,2500g未満,　　　,乳児死亡数,新生児,自然死産,人工死産,総　数,22週以後,早期新生児,　　　,　　　
,,,,,死亡数,,,,の死産数,死亡数,,
０１北海道　　,37058,3598,60018,61,32,460,641,148,123,25,26018,11003
　　札幌市　　,14568,1397,17668,26,15,176,254,75,62,13,10752,4182
　　その他の市,16293,1589,28882,24,14,204,291,50,41,9,11428,5158
　　郡　部　　,6197,612,13468,11,3,80,96,23,20,3,3838,1663
0110札幌市　　　　　　　,14568,1397,17668,26,15,176,254,75,62,13,　　　　...,　　　　...
0136小樽市　　　　　　　,623,60,1844,-,-,5,12,1,1,-,　　　　...,　　　　...
0137市立函館　　　　　　,1611,135,3603,2,2,21,37,6,6,-,　　　　...,　　　　...
0138旭川市　　　　　　　,2356,226,3959,4,1,23,56,4,3,1,　　　　...,　　　　...
0151江別　　　　　　　　,1077,119,1898,2,1,15,13,3,2,1,　　　　...,　　　　...
0153千歳　　　　　　　　,1754,172,1815,2,-,14,31,2,2,-,　　　　...,　　　　...
0154岩見沢　　　　　　　,925,94,2528,-,-,15,20,3,3,-,　　　　...,　　　　...
0159滝川　　　　　　　　,590,62,1688,1,1,8,8,2,2,-,　　　　...,　　　　...
0161深川　　　　　　　　,188,14,529,-,-,1,4,1,1,-,　　　　...,　　　　...
0163富良野　　　　　　　,296,20,546,-,-,3,1,-,-,-,　　　　...,　　　　...
0165名寄　　　　　　　　,444,46,849,-,-,2,2,-,-,-,　　　　...,　　　　...
0167岩内　　　　　　　　,131,17,354,-,-,2,8,-,-,-,　　　　...,　　　　...
0168倶知安　　　　　　　,481,52,1015,-,-,6,5,1,1,-,　　　　...,　　　　...
0169江差　　　　　　　　,134,11,378,-,-,3,-,1,1,-,　　　　...,　　　　...
0172渡島　　　　　　　　,668,53,1610,3,3,14,21,4,3,1,　　　　...,　　　　...
0173八雲　　　　　　　　,208,12,564,-,-,1,7,-,-,-,　　　　...,　　　　...
0175室蘭　　　　　　　　,1132,119,2509,2,2,11,20,7,5,2,　　　　...,　　　　...
0176苫小牧　　　　　　　,1661,187,2274,3,1,13,32,3,2,1,　　　　...,　　　　...
0177浦河　　　　　　　　,169,16,283,-,-,-,3,-,-,-,　　　　...,　　　　...
