平成２６年,人口動態調査,,
中巻　総覧　第２表－１３　人口動態総覧，都道府県（東京都）；保健所・市区町村別
,出生数,（再掲）,死亡数,（再掲）, ,死産数, ,周産期死亡, , ,婚姻件数,離婚件数
,　　　,2500g未満,　　　,乳児死亡数,新生児,自然死産,人工死産,総　数,22週以後,早期新生児,　　　,　　　
,,,,,死亡数,,,,の死産数,死亡数,,
１３東　京　　,110629,10164,111023,205,89,1135,1325,388,324,64,87000,23653
　　都区部　　,78423,7129,75626,152,67,805,936,276,229,47,66558,16918
　　市　部　　,31648,2988,34019,52,22,326,378,111,94,17,20099,6593
　　郡　部　　,558,47,1378,1,-,4,11,1,1,-,343,142
1364千代田　　　　　　　,604,51,383,1,-,6,4,-,-,-,　　　　...,　　　　...
1369中央区　　　　　　　,1790,190,855,3,1,14,14,2,2,-,　　　　...,　　　　...
1360みなと　　　　　　　,2854,238,1585,4,2,23,22,7,5,2,　　　　...,　　　　...
1362新宿区　　　　　　　,2329,213,2520,5,2,24,51,8,6,2,　　　　...,　　　　...
1366文京　　　　　　　　,1918,164,1544,4,3,20,18,9,6,3,　　　　...,　　　　...
1354台東　　　　　　　　,1540,145,1956,4,3,14,25,5,4,1,　　　　...,　　　　...
1367墨田区　　　　　　　,2247,198,2417,5,3,19,28,11,8,3,　　　　...,　　　　...
1368江東区　　　　　　　,4562,396,3893,5,4,43,43,15,13,2,　　　　...,　　　　...
1363品川区　　　　　　　,3462,325,2971,5,2,45,28,11,10,1,　　　　...,　　　　...
1355目黒区　　　　　　　,2583,224,1915,6,2,20,30,5,3,2,　　　　...,　　　　...
1356大田区　　　　　　　,5803,555,6295,11,5,51,72,16,14,2,　　　　...,　　　　...
1327世田谷　　　　　　　,7969,734,6393,19,5,74,81,28,24,4,　　　　...,　　　　...
1331渋谷区　　　　　　　,1993,188,1545,-,-,28,31,11,11,-,　　　　...,　　　　...
1361中野区　　　　　　　,2510,240,2651,2,-,27,34,9,9,-,　　　　...,　　　　...
1357杉並　　　　　　　　,4514,415,4311,10,2,39,48,14,14,-,　　　　...,　　　　...
1337池袋　　　　　　　　,2055,181,2314,6,5,24,32,10,6,4,　　　　...,　　　　...
1358北区　　　　　　　　,2683,286,3442,8,6,40,32,15,10,5,　　　　...,　　　　...
1342荒川区　　　　　　　,1799,144,2052,4,1,22,16,7,6,1,　　　　...,　　　　...
1359板橋区　　　　　　　,4400,409,4813,6,4,38,65,20,16,4,　　　　...,　　　　...
