平成２６年,人口動態調査,,
中巻　総覧　第２表－１４　人口動態総覧，都道府県（神奈川県）；保健所・市区町村別
,出生数,（再掲）,死亡数,（再掲）, ,死産数, ,周産期死亡, , ,婚姻件数,離婚件数
,　　　,2500g未満,　　　,乳児死亡数,新生児,自然死産,人工死産,総　数,22週以後,早期新生児,　　　,　　　
,,,,,死亡数,,,,の死産数,死亡数,,
１４神奈川　　,72996,6961,74387,149,75,771,795,274,213,61,48851,16004
　　横浜市　　,30149,2855,30038,44,26,313,311,110,87,23,19911,6424
　　川崎市　　,14126,1355,10134,29,13,130,128,39,30,9,10307,2509
　　相模原市　,5525,550,5459,15,7,56,74,22,16,6,3612,1374
　　その他の市,21480,2006,25664,55,27,255,258,95,74,21,13884,5206
　　郡　部　　,1716,195,3092,6,2,17,24,8,6,2,1137,491
1429横浜市　　　　　　　,30149,2855,30038,44,26,313,311,110,87,23,　　　　...,　　　　...
1416川崎市　川崎　　　　,1697,176,2106,3,1,18,29,8,7,1,　　　　...,　　　　...
1419川崎市　幸　　　　　,1559,154,1340,3,1,19,16,6,5,1,　　　　...,　　　　...
1420川崎市　中原　　　　,2890,258,1468,8,5,22,14,9,6,3,　　　　...,　　　　...
1421川崎市　高津　　　　,2375,208,1418,3,1,21,12,3,2,1,　　　　...,　　　　...
1422川崎市　宮前　　　　,2181,213,1365,6,3,16,21,6,3,3,　　　　...,　　　　...
1423川崎市　多摩　　　　,1944,202,1372,5,1,18,23,3,3,-,　　　　...,　　　　...
1424川崎市　麻生　　　　,1480,144,1065,1,1,16,13,4,4,-,　　　　...,　　　　...
1402相模原市　　　　　　,5525,550,5459,15,7,56,74,22,16,6,　　　　...,　　　　...
1441横須賀市　　　　　　,2607,233,4592,6,3,27,34,13,10,3,　　　　...,　　　　...
1443藤沢市　　　　　　　,3524,315,3192,7,4,40,25,12,9,3,　　　　...,　　　　...
1451平塚　　　　　　　　,3584,371,4463,14,5,36,41,16,12,4,　　　　...,　　　　...
1452鎌倉　　　　　　　　,1877,164,3200,3,1,27,16,8,7,1,　　　　...,　　　　...
1454小田原　　　　　　　,2071,203,3500,4,2,20,34,10,8,2,　　　　...,　　　　...
1456三崎　　　　　　　　,46,4,179,-,-,-,1,-,-,-,　　　　...,　　　　...
1457厚木　　　　　　　　,6062,590,5834,14,6,80,90,23,19,4,　　　　...,　　　　...
1458足柄上　　　　　　　,170,19,293,-,-,1,1,-,-,-,　　　　...,　　　　...
