平成２６年,人口動態調査,,
中巻　総覧　第２表－４７　人口動態総覧，都道府県(沖縄県)；保健所・市区町村別
,出生数,（再掲）,死亡数,（再掲）, ,死産数, ,周産期死亡, , ,婚姻件数,離婚件数
,　　　,2500g未満,　　　,乳児死亡数,新生児,自然死産,人工死産,総　数,22週以後,早期新生児,　　　,　　　
,,,,,死亡数,,,,の死産数,死亡数,,
４７沖　縄　　,16373,1876,11361,47,20,233,261,65,50,15,8473,3571
　　市　部　　,12702,1437,8533,37,16,177,207,51,40,11,6630,2797
　　郡　部　　,3671,439,2828,10,4,56,54,14,10,4,1843,774
4731那覇市　　　　　　　,3306,360,2520,10,2,36,58,8,7,1,　　　　...,　　　　...
4751北部　　　　　　　　,1055,102,1025,6,3,13,17,7,4,3,　　　　...,　　　　...
4755南部　　　　　　　　,5042,594,2981,13,6,74,55,19,16,3,　　　　...,　　　　...
4756宮古　　　　　　　　,554,53,657,1,-,4,8,1,1,-,　　　　...,　　　　...
4757八重山　　　　　　　,622,79,502,4,2,6,9,3,1,2,　　　　...,　　　　...
4758中部　　　　　　　　,5794,688,3676,13,7,100,114,27,21,6,　　　　...,　　　　...
47201那覇市　　　　　,3306,360,2520,10,2,36,58,8,7,1,1957,781
47205宜野湾市　　　　,1236,107,567,2,2,22,13,9,8,1,650,248
47207石垣市　　　　　,567,72,450,4,2,6,9,3,1,2,312,155
47208浦添市　　　　　,1400,145,671,6,2,28,18,9,8,1,666,283
47209名護市　　　　　,725,67,479,3,1,7,16,3,2,1,328,151
47210糸満市　　　　　,762,95,508,-,-,10,5,4,4,-,308,127
47211沖縄市　　　　　,1629,199,933,6,4,31,44,10,6,4,837,369
47212豊見城市　　　　,867,110,366,3,2,6,9,-,-,-,352,119
47213うるま市　　　　,1285,185,1003,2,1,19,21,3,2,1,700,315
47214宮古島市　　　　,546,53,630,1,-,4,8,1,1,-,303,166
47215南城市　　　　　,379,44,406,-,-,8,6,1,1,-,217,83
47301国頭村　　　　　,30,1,75,-,-,3,-,1,1,-,20,12
47302大宜味村　　　　,18,1,55,-,-,-,-,-,-,-,11,10
47303東村　　　　　　,10,4,28,-,-,-,-,-,-,-,8,2
47306今帰仁村　　　　,80,9,112,1,-,1,-,1,1,-,48,12
47308本部町　　　　　,129,10,182,2,2,1,1,2,-,2,63,33
47311恩納村　　　　　,99,19,114,1,-,3,-,1,1,-,58,13
47313宜野座村　　　　,79,8,62,-,-,1,2,-,-,-,33,17
47314金武町　　　　　,141,19,127,-,-,1,4,-,-,-,70,34
47315伊江村　　　　　,35,4,55,-,-,-,-,-,-,-,17,11
47324読谷村　　　　　,434,52,311,-,-,4,10,2,2,-,219,92
47325嘉手納町　　　　,155,22,139,-,-,5,3,-,-,-,81,43
47326北谷町　　　　　,313,33,179,1,-,8,8,2,2,-,222,86
47327北中城村　　　　,199,21,110,1,-,2,7,-,-,-,83,30
47328中城村　　　　　,224,23,131,-,-,4,2,-,-,-,117,32
47329西原町　　　　　,356,45,211,1,-,7,3,2,2,-,143,66
47348与那原町　　　　,263,39,132,-,-,1,4,-,-,-,112,57
47350南風原町　　　　,543,66,248,1,1,5,4,1,-,1,238,82
47353渡嘉敷村　　　　,5,1,5,-,-,-,-,-,-,-,6,2
47354座間味村　　　　,10,-,16,-,-,-,-,-,-,-,8,-
47355粟国村　　　　　,8,-,10,-,-,-,-,-,-,-,2,3
47356渡名喜村　　　　,1,-,9,-,-,-,-,-,-,-,1,-
47357南大東村　　　　,17,1,11,-,-,1,-,-,-,-,9,6
47358北大東村　　　　,6,-,5,-,-,-,-,-,-,-,5,2
47359伊平屋村　　　　,15,5,17,-,-,-,-,-,-,-,5,-
47360伊是名村　　　　,13,1,22,-,-,1,-,-,-,-,7,4
47361久米島町　　　　,70,8,113,-,-,1,3,1,1,-,42,25
47362八重瀬町　　　　,355,40,270,2,1,7,3,1,-,1,167,84
47375多良間村　　　　,8,-,27,-,-,-,-,-,-,-,3,1
47381竹富町　　　　　,42,5,35,-,-,-,-,-,-,-,29,11
47382与那国町　　　　,13,2,17,-,-,-,-,-,-,-,16,4
