平成２７年,人口動態調査,,
中巻　総覧　第２表－０１　人口動態総覧，都道府県（北海道）；保健所・市区町村別
,出生数,（再掲）,死亡数,（再掲）, ,死産数, ,周産期死亡, , ,婚姻件数,離婚件数
,　　　,2500g未満,　　　,乳児死亡数,新生児,自然死産,人工死産,総　数,22週以後,早期新生児,　　　,　　　
,,,,,死亡数,,,,の死産数,死亡数,,
０１北海道　　,36695,3425,60667,73,36,420,637,152,126,26,25465,11211
　　札幌市　　,14589,1336,17523,27,10,160,266,63,54,9,10800,4492
　　その他の市,16072,1559,29457,35,21,189,283,65,53,12,10963,5048
　　郡　部　　,6034,530,13687,11,5,71,88,24,19,5,3702,1671
0110札幌市　　　　　　　,14589,1336,17523,27,10,160,266,63,54,9,　　　　...,　　　　...
0136小樽市　　　　　　　,598,68,1904,1,1,6,19,3,3,-,　　　　...,　　　　...
0137市立函館　　　　　　,1622,153,3718,1,1,28,28,8,8,-,　　　　...,　　　　...
0138旭川市　　　　　　　,2333,255,4010,3,1,23,45,8,7,1,　　　　...,　　　　...
0151江別　　　　　　　　,1043,87,2077,2,2,15,14,5,4,1,　　　　...,　　　　...
0153千歳　　　　　　　　,1681,163,1863,6,2,24,29,7,5,2,　　　　...,　　　　...
0154岩見沢　　　　　　　,830,84,2470,1,-,16,14,6,6,-,　　　　...,　　　　...
0159滝川　　　　　　　　,555,53,1763,1,1,5,7,4,3,1,　　　　...,　　　　...
0161深川　　　　　　　　,183,20,544,-,-,-,3,-,-,-,　　　　...,　　　　...
0163富良野　　　　　　　,300,22,551,-,-,2,2,1,1,-,　　　　...,　　　　...
0165名寄　　　　　　　　,413,34,901,-,-,4,5,2,2,-,　　　　...,　　　　...
0167岩内　　　　　　　　,135,17,349,1,-,3,3,1,1,-,　　　　...,　　　　...
0168倶知安　　　　　　　,425,33,1025,-,-,6,4,2,2,-,　　　　...,　　　　...
0169江差　　　　　　　　,112,5,389,-,-,1,3,1,1,-,　　　　...,　　　　...
0172渡島　　　　　　　　,701,62,1590,2,1,8,17,2,1,1,　　　　...,　　　　...
0173八雲　　　　　　　　,210,16,571,-,-,2,8,1,1,-,　　　　...,　　　　...
0175室蘭　　　　　　　　,1181,117,2608,2,1,12,15,2,1,1,　　　　...,　　　　...
0176苫小牧　　　　　　　,1611,146,2361,3,1,10,39,3,3,-,　　　　...,　　　　...
0177浦河　　　　　　　　,137,11,284,-,-,2,-,1,1,-,　　　　...,　　　　...
