平成２７年,人口動態調査,,
中巻　総覧　第２表－１３　人口動態総覧，都道府県（東京都）；保健所・市区町村別
,出生数,（再掲）,死亡数,（再掲）, ,死産数, ,周産期死亡, , ,婚姻件数,離婚件数
,　　　,2500g未満,　　　,乳児死亡数,新生児,自然死産,人工死産,総　数,22週以後,早期新生児,　　　,　　　
,,,,,死亡数,,,,の死産数,死亡数,,
１３東　京　　,113194,10313,111673,189,89,1143,1263,368,308,60,87167,24135
　　都区部　　,80619,7347,75960,133,63,811,936,260,219,41,66961,17436
　　市　部　　,32030,2911,34387,54,25,326,322,106,88,18,19851,6551
　　郡　部　　,545,55,1326,2,1,6,5,2,1,1,355,148
1364千代田　　　　　　　,590,59,386,2,1,6,5,2,1,1,　　　　...,　　　　...
1369中央区　　　　　　　,1927,170,880,3,1,15,13,2,2,-,　　　　...,　　　　...
1360みなと　　　　　　　,2962,250,1579,3,1,29,50,3,3,-,　　　　...,　　　　...
1362新宿区　　　　　　　,2448,235,2587,3,2,41,45,14,12,2,　　　　...,　　　　...
1366文京　　　　　　　　,1982,150,1601,1,1,16,17,4,3,1,　　　　...,　　　　...
1354台東　　　　　　　　,1543,148,1913,2,2,18,24,5,5,-,　　　　...,　　　　...
1367墨田区　　　　　　　,2463,221,2391,9,5,25,21,10,6,4,　　　　...,　　　　...
1368江東区　　　　　　　,4843,438,3852,5,4,45,44,13,11,2,　　　　...,　　　　...
1363品川区　　　　　　　,3738,329,2918,6,3,36,36,8,6,2,　　　　...,　　　　...
1355目黒区　　　　　　　,2515,227,2036,4,2,28,38,7,6,1,　　　　...,　　　　...
1356大田区　　　　　　　,5897,533,6160,6,-,55,74,20,20,-,　　　　...,　　　　...
1327世田谷　　　　　　　,8019,713,6439,13,6,76,96,22,19,3,　　　　...,　　　　...
1331渋谷区　　　　　　　,2121,199,1567,3,-,19,28,6,6,-,　　　　...,　　　　...
1361中野区　　　　　　　,2632,266,2711,6,4,20,29,7,5,2,　　　　...,　　　　...
1357杉並　　　　　　　　,4747,450,4368,14,4,43,44,19,15,4,　　　　...,　　　　...
1337池袋　　　　　　　　,2045,192,2377,4,2,17,28,9,8,1,　　　　...,　　　　...
1358北区　　　　　　　　,2731,265,3541,3,2,29,21,8,7,1,　　　　...,　　　　...
1342荒川区　　　　　　　,1777,186,1964,2,1,12,18,6,5,1,　　　　...,　　　　...
1359板橋区　　　　　　　,4517,386,4777,8,5,44,58,13,9,4,　　　　...,　　　　...
