平成２７年,人口動態調査,,
中巻　総覧　第２表－１４　人口動態総覧，都道府県（神奈川県）；保健所・市区町村別
,出生数,（再掲）,死亡数,（再掲）, ,死産数, ,周産期死亡, , ,婚姻件数,離婚件数
,　　　,2500g未満,　　　,乳児死亡数,新生児,自然死産,人工死産,総　数,22週以後,早期新生児,　　　,　　　
,,,,,死亡数,,,,の死産数,死亡数,,
１４神奈川　　,73475,6942,75762,142,75,749,751,290,230,60,48263,16234
　　横浜市　　,30022,2806,30349,62,34,291,292,120,90,30,19634,6541
　　川崎市　　,14703,1364,10409,20,10,158,141,50,41,9,10324,2564
　　相模原市　,5475,576,5655,13,7,58,75,24,19,5,3434,1362
　　その他の市,21442,2019,26182,43,22,227,224,89,73,16,13743,5236
　　郡　部　　,1833,177,3167,4,2,15,19,7,7,-,1128,531
1429横浜市　　　　　　　,30022,2806,30349,62,34,291,292,120,90,30,　　　　...,　　　　...
1416川崎市　川崎　　　　,1910,204,2254,1,-,16,22,3,3,-,　　　　...,　　　　...
1419川崎市　幸　　　　　,1708,155,1336,1,-,10,15,3,3,-,　　　　...,　　　　...
1420川崎市　中原　　　　,2992,252,1510,7,4,43,29,16,13,3,　　　　...,　　　　...
1421川崎市　高津　　　　,2416,230,1358,3,3,26,21,9,6,3,　　　　...,　　　　...
1422川崎市　宮前　　　　,2165,198,1353,1,-,26,15,9,9,-,　　　　...,　　　　...
1423川崎市　多摩　　　　,2092,196,1372,3,1,23,23,5,4,1,　　　　...,　　　　...
1424川崎市　麻生　　　　,1420,129,1226,4,2,14,16,5,3,2,　　　　...,　　　　...
1402相模原市　　　　　　,5475,576,5655,13,7,58,75,24,19,5,　　　　...,　　　　...
1441横須賀市　　　　　　,2633,249,4544,5,2,33,27,13,13,-,　　　　...,　　　　...
1443藤沢市　　　　　　　,3566,312,3303,11,8,49,34,21,15,6,　　　　...,　　　　...
1451平塚　　　　　　　　,3978,370,5212,3,1,35,51,7,7,-,　　　　...,　　　　...
1452鎌倉　　　　　　　　,1907,198,3594,5,1,18,19,4,4,-,　　　　...,　　　　...
1454小田原　　　　　　　,2235,210,3834,4,2,17,21,8,7,1,　　　　...,　　　　...
1457厚木　　　　　　　　,6678,649,6561,16,8,73,61,30,23,7,　　　　...,　　　　...
1462茅ケ崎　　　　　　　,2278,208,2301,3,2,17,30,13,11,2,　　　　...,　　　　...
14101横浜市鶴見区　　,2710,239,2241,7,5,27,26,14,10,4,1754,567
