平成２７年,人口動態調査,,
中巻　総覧　第２表－４７　人口動態総覧，都道府県(沖縄県)；保健所・市区町村別
,出生数,（再掲）,死亡数,（再掲）, ,死産数, ,周産期死亡, , ,婚姻件数,離婚件数
,　　　,2500g未満,　　　,乳児死亡数,新生児,自然死産,人工死産,総　数,22週以後,早期新生児,　　　,　　　
,,,,,死亡数,,,,の死産数,死亡数,,
４７沖　縄　　,16941,1848,11326,34,16,202,221,55,47,8,8695,3603
　　市　部　　,13162,1453,8678,27,13,165,165,47,40,7,6732,2850
　　郡　部　　,3779,395,2648,7,3,37,56,8,7,1,1963,753
4731那覇市　　　　　　　,3296,321,2633,6,2,51,33,13,12,1,　　　　...,　　　　...
4751北部　　　　　　　　,1029,114,1002,-,-,9,18,2,2,-,　　　　...,　　　　...
4755南部　　　　　　　　,5297,524,2855,14,6,58,58,14,12,2,　　　　...,　　　　...
4756宮古　　　　　　　　,611,63,636,-,-,2,12,-,-,-,　　　　...,　　　　...
4757八重山　　　　　　　,657,68,468,1,1,9,12,2,1,1,　　　　...,　　　　...
4758中部　　　　　　　　,6051,758,3732,13,7,73,88,24,20,4,　　　　...,　　　　...
47201那覇市　　　　　,3296,321,2633,6,2,51,33,13,12,1,1828,744
47205宜野湾市　　　　,1252,131,566,5,2,11,12,5,3,2,692,288
47207石垣市　　　　　,602,64,416,1,1,8,12,2,1,1,337,153
47208浦添市　　　　　,1418,127,686,5,2,13,14,3,2,1,675,282
47209名護市　　　　　,704,78,486,-,-,6,14,1,1,-,369,150
47210糸満市　　　　　,749,92,494,1,-,11,12,1,1,-,329,137
47211沖縄市　　　　　,1727,233,980,2,1,24,26,7,7,-,906,371
47212豊見城市　　　　,905,100,390,2,1,10,7,5,5,-,374,164
47213うるま市　　　　,1430,203,1010,5,4,21,20,6,4,2,726,302
47214宮古島市　　　　,606,63,623,-,-,2,12,-,-,-,274,162
47215南城市　　　　　,473,41,394,-,-,8,3,4,4,-,222,97
47301国頭村　　　　　,39,4,80,-,-,-,1,-,-,-,17,6
47302大宜味村　　　　,19,1,55,-,-,-,1,-,-,-,16,6
47303東村　　　　　　,13,2,14,-,-,-,-,-,-,-,7,4
47306今帰仁村　　　　,82,9,103,-,-,1,1,1,1,-,43,15
47308本部町　　　　　,118,14,165,-,-,2,-,-,-,-,65,35
47311恩納村　　　　　,94,7,127,-,-,1,5,-,-,-,77,25
47313宜野座村　　　　,68,10,63,-,-,-,2,-,-,-,33,9
47314金武町　　　　　,145,17,114,-,-,1,2,1,1,-,75,31
47315伊江村　　　　　,34,3,61,-,-,-,1,-,-,-,19,3
47324読谷村　　　　　,425,60,283,1,-,7,5,2,2,-,209,109
47325嘉手納町　　　　,153,26,132,-,-,1,3,1,1,-,57,30
47326北谷町　　　　　,331,33,190,-,-,1,9,1,1,-,254,80
47327北中城村　　　　,191,16,121,-,-,4,2,1,1,-,89,35
47328中城村　　　　　,235,22,146,-,-,2,2,-,-,-,107,40
47329西原町　　　　　,368,39,180,-,-,1,4,-,-,-,169,62
47348与那原町　　　　,288,33,116,2,2,4,5,-,-,-,133,50
47350南風原町　　　　,569,50,202,1,-,5,7,-,-,-,262,82
47353渡嘉敷村　　　　,7,-,12,-,-,-,-,-,-,-,8,1
47354座間味村　　　　,10,1,11,-,-,-,-,-,-,-,3,5
47355粟国村　　　　　,7,1,20,-,-,-,-,-,-,-,2,2
47356渡名喜村　　　　,4,1,7,-,-,-,-,-,-,-,3,-
47357南大東村　　　　,16,3,11,-,-,-,-,-,-,-,11,4
47358北大東村　　　　,12,-,4,-,-,-,-,-,-,-,6,1
47359伊平屋村　　　　,6,2,17,-,-,-,-,-,-,-,3,2
47360伊是名村　　　　,14,1,21,-,-,-,-,-,-,-,5,5
47361久米島町　　　　,79,9,94,-,-,-,1,-,-,-,41,19
47362八重瀬町　　　　,392,27,234,3,1,6,5,1,-,1,204,66
47375多良間村　　　　,5,-,13,-,-,-,-,-,-,-,2,5
47381竹富町　　　　　,44,3,32,-,-,1,-,-,-,-,36,16
47382与那国町　　　　,11,1,20,-,-,-,-,-,-,-,7,5
