平成２８年,人口動態調査,,
中巻　総覧　第２表－０１　人口動態総覧，都道府県（北海道）；保健所・市区町村別
,出生数,（再掲）,死亡数,（再掲）, ,死産数, ,周産期死亡, , ,婚姻件数,離婚件数
,　　　,2500g未満,　　　,乳児死亡数,新生児,自然死産,人工死産,総　数,22週以後,早期新生児,　　　,　　　
,,,,,死亡数,,,,の死産数,死亡数,,
０１北海道　　,35125,3233,61906,76,33,345,556,117,89,28,24636,10476
　　札幌市　　,14021,1316,18504,29,12,108,236,47,38,9,10495,4096
　　その他の市,15357,1428,29779,35,16,177,249,53,39,14,10611,4826
　　郡　部　　,5747,489,13623,12,5,60,71,17,12,5,3530,1554
0110札幌市　　　　　　　,14021,1316,18504,29,12,108,236,47,38,9,　　　　...,　　　　...
0136小樽市　　　　　　　,512,46,1856,-,-,8,14,4,4,-,　　　　...,　　　　...
0137市立函館　　　　　　,1532,132,3637,4,4,18,34,8,5,3,　　　　...,　　　　...
0138旭川市　　　　　　　,2280,238,4060,3,1,27,37,5,4,1,　　　　...,　　　　...
0151江別　　　　　　　　,1018,113,2062,4,3,14,22,4,1,3,　　　　...,　　　　...
0153千歳　　　　　　　　,1663,131,1938,6,2,17,16,8,6,2,　　　　...,　　　　...
0154岩見沢　　　　　　　,816,76,2431,-,-,6,8,1,1,-,　　　　...,　　　　...
0159滝川　　　　　　　　,556,58,1778,-,-,4,2,-,-,-,　　　　...,　　　　...
0161深川　　　　　　　　,167,10,508,-,-,1,2,-,-,-,　　　　...,　　　　...
0163富良野　　　　　　　,272,18,520,-,-,-,5,-,-,-,　　　　...,　　　　...
0165名寄　　　　　　　　,403,42,890,-,-,5,5,2,2,-,　　　　...,　　　　...
0167岩内　　　　　　　　,141,15,348,-,-,-,1,-,-,-,　　　　...,　　　　...
0168倶知安　　　　　　　,482,52,1030,1,1,4,5,2,1,1,　　　　...,　　　　...
0169江差　　　　　　　　,126,4,400,-,-,3,3,-,-,-,　　　　...,　　　　...
0172渡島　　　　　　　　,641,41,1659,1,-,7,22,2,2,-,　　　　...,　　　　...
0173八雲　　　　　　　　,182,14,591,1,1,1,7,1,-,1,　　　　...,　　　　...
0175室蘭　　　　　　　　,1117,99,2677,3,1,18,12,1,1,-,　　　　...,　　　　...
0176苫小牧　　　　　　　,1519,145,2226,1,-,12,25,5,5,-,　　　　...,　　　　...
0177浦河　　　　　　　　,141,9,308,-,-,2,3,1,1,-,　　　　...,　　　　...
