平成２８年,人口動態調査,,
中巻　総覧　第２表－１３　人口動態総覧，都道府県（東京都）；保健所・市区町村別
,出生数,（再掲）,死亡数,（再掲）, ,死産数, ,周産期死亡, , ,婚姻件数,離婚件数
,　　　,2500g未満,　　　,乳児死亡数,新生児,自然死産,人工死産,総　数,22週以後,早期新生児,　　　,　　　
,,,,,死亡数,,,,の死産数,死亡数,,
１３東　京　　,111962,10293,113415,222,97,1131,1234,402,322,80,86009,23470
　　都区部　　,80213,7503,76826,150,68,840,895,297,242,55,66235,16892
　　市　部　　,31185,2750,35206,72,29,284,327,102,77,25,19469,6423
　　郡　部　　,564,40,1383,-,-,7,12,3,3,-,305,155
1364千代田　　　　　　　,627,52,418,-,-,9,11,-,-,-,　　　　...,　　　　...
1369中央区　　　　　　　,1974,170,790,4,2,22,22,9,7,2,　　　　...,　　　　...
1360みなと　　　　　　　,3048,261,1458,4,4,30,42,12,8,4,　　　　...,　　　　...
1362新宿区　　　　　　　,2557,258,2626,10,3,27,40,6,5,1,　　　　...,　　　　...
1366文京　　　　　　　　,2115,209,1589,1,1,21,17,9,8,1,　　　　...,　　　　...
1354台東　　　　　　　　,1508,143,2026,4,2,19,21,6,4,2,　　　　...,　　　　...
1367墨田区　　　　　　　,2390,226,2411,3,1,20,23,4,4,-,　　　　...,　　　　...
1368江東区　　　　　　　,4683,441,3970,6,2,43,50,9,8,1,　　　　...,　　　　...
1363品川区　　　　　　　,3785,378,3020,9,6,51,35,20,15,5,　　　　...,　　　　...
1355目黒区　　　　　　　,2492,250,1954,2,-,28,20,10,10,-,　　　　...,　　　　...
1356大田区　　　　　　　,5732,518,6364,13,7,62,56,27,21,6,　　　　...,　　　　...
1327世田谷　　　　　　　,7947,682,6375,13,6,66,72,22,17,5,　　　　...,　　　　...
1331渋谷区　　　　　　　,2093,189,1567,2,1,24,26,8,8,-,　　　　...,　　　　...
1361中野区　　　　　　　,2689,270,2617,6,1,23,33,8,8,-,　　　　...,　　　　...
1357杉並　　　　　　　　,4655,470,4429,6,3,53,40,21,18,3,　　　　...,　　　　...
1337池袋　　　　　　　　,2073,181,2389,6,2,20,27,6,6,-,　　　　...,　　　　...
1358北区　　　　　　　　,2840,272,3413,6,2,29,28,11,9,2,　　　　...,　　　　...
1342荒川区　　　　　　　,1778,155,2027,1,-,7,26,1,1,-,　　　　...,　　　　...
1359板橋区　　　　　　　,4593,379,4890,9,3,53,50,14,12,2,　　　　...,　　　　...
