平成２８年,人口動態調査,,
中巻　総覧　第２表－１４　人口動態総覧，都道府県（神奈川県）；保健所・市区町村別
,出生数,（再掲）,死亡数,（再掲）, ,死産数, ,周産期死亡, , ,婚姻件数,離婚件数
,　　　,2500g未満,　　　,乳児死亡数,新生児,自然死産,人工死産,総　数,22週以後,早期新生児,　　　,　　　
,,,,,死亡数,,,,の死産数,死亡数,,
１４神奈川　　,70648,6694,77361,147,80,665,735,258,196,62,46695,15673
　　横浜市　　,28889,2731,31414,58,32,292,276,121,93,28,19132,6386
　　川崎市　　,14158,1295,10379,32,16,104,151,42,32,10,10008,2458
　　相模原市　,5196,518,5611,15,8,55,67,20,16,4,3349,1354
　　その他の市,20746,1990,26690,41,24,201,222,73,53,20,13199,4999
　　郡　部　　,1659,160,3267,1,-,13,19,2,2,-,1007,476
1429横浜市　　　　　　　,28889,2731,31414,58,32,292,276,121,93,28,　　　　...,　　　　...
1416川崎市　川崎　　　　,456,46,554,2,-,3,11,-,-,-,　　　　...,　　　　...
1419川崎市　幸　　　　　,399,34,335,-,-,3,3,1,1,-,　　　　...,　　　　...
1420川崎市　中原　　　　,686,66,375,-,-,5,6,1,1,-,　　　　...,　　　　...
1421川崎市　高津　　　　,568,42,393,1,-,7,4,3,3,-,　　　　...,　　　　...
1422川崎市　宮前　　　　,514,45,395,3,-,4,2,1,1,-,　　　　...,　　　　...
1423川崎市　多摩　　　　,482,47,391,1,1,4,7,2,1,1,　　　　...,　　　　...
1424川崎市　麻生　　　　,332,28,327,-,-,4,4,-,-,-,　　　　...,　　　　...
1402相模原市　　　　　　,5196,518,5611,15,8,55,67,20,16,4,　　　　...,　　　　...
1403川崎市　　　　　　　,10721,987,7609,25,15,74,114,34,25,9,　　　　...,　　　　...
1441横須賀市　　　　　　,2584,215,4456,6,4,32,22,14,10,4,　　　　...,　　　　...
1443藤沢市　　　　　　　,3523,340,3369,3,2,34,29,9,7,2,　　　　...,　　　　...
1451平塚　　　　　　　　,3804,388,5389,3,1,34,40,10,9,1,　　　　...,　　　　...
1452鎌倉　　　　　　　　,1881,170,3621,3,2,22,12,8,7,1,　　　　...,　　　　...
1454小田原　　　　　　　,2069,216,3933,4,1,13,30,5,4,1,　　　　...,　　　　...
1457厚木　　　　　　　　,6340,622,6709,20,13,57,79,23,13,10,　　　　...,　　　　...
1462茅ケ崎　　　　　　　,2204,199,2480,3,1,22,29,6,5,1,　　　　...,　　　　...
