平成２８年,人口動態調査,,
中巻　総覧　第２表－４７　人口動態総覧，都道府県(沖縄県)；保健所・市区町村別
,出生数,（再掲）,死亡数,（再掲）, ,死産数, ,周産期死亡, , ,婚姻件数,離婚件数
,　　　,2500g未満,　　　,乳児死亡数,新生児,自然死産,人工死産,総　数,22週以後,早期新生児,　　　,　　　
,,,,,死亡数,,,,の死産数,死亡数,,
４７沖　縄　　,16617,1873,11706,31,14,213,221,63,52,11,8464,3700
　　市　部　　,12848,1431,8862,26,10,176,178,50,41,9,6574,2942
　　郡　部　　,3769,442,2844,5,4,37,43,13,11,2,1890,758
4731那覇市　　　　　　　,3176,357,2604,8,2,57,35,15,13,2,　　　　...,　　　　...
4751北部　　　　　　　　,1051,128,1065,1,1,12,19,4,3,1,　　　　...,　　　　...
4755南部　　　　　　　　,5139,556,2992,8,5,69,59,27,25,2,　　　　...,　　　　...
4756宮古　　　　　　　　,564,57,646,2,2,3,10,2,-,2,　　　　...,　　　　...
4757八重山　　　　　　　,684,89,508,2,-,4,7,-,-,-,　　　　...,　　　　...
4758中部　　　　　　　　,6003,686,3891,10,4,68,91,15,11,4,　　　　...,　　　　...
47201那覇市　　　　　,3176,357,2604,8,2,57,35,15,13,2,1794,788
47205宜野湾市　　　　,1281,121,625,4,2,17,17,7,5,2,692,260
47207石垣市　　　　　,608,81,439,2,-,4,7,-,-,-,329,154
47208浦添市　　　　　,1355,137,727,1,-,22,15,10,10,-,658,278
47209名護市　　　　　,713,79,517,-,-,11,12,3,3,-,342,151
47210糸満市　　　　　,770,82,453,2,2,13,15,7,5,2,331,169
47211沖縄市　　　　　,1765,221,1003,2,-,13,37,-,-,-,881,406
47212豊見城市　　　　,829,80,362,1,1,10,6,1,1,-,366,156
47213うるま市　　　　,1337,155,1046,2,1,20,16,3,2,1,662,352
47214宮古島市　　　　,552,56,631,2,2,3,10,2,-,2,293,138
47215南城市　　　　　,462,62,455,2,-,6,8,2,2,-,226,90
47301国頭村　　　　　,34,5,74,-,-,-,-,-,-,-,19,9
47302大宜味村　　　　,26,5,38,-,-,-,-,-,-,-,6,5
47303東村　　　　　　,10,2,27,-,-,1,-,-,-,-,6,4
47306今帰仁村　　　　,86,16,131,1,1,-,3,1,-,1,41,22
47308本部町　　　　　,127,11,170,-,-,-,1,-,-,-,53,37
47311恩納村　　　　　,107,14,120,-,-,2,1,2,2,-,56,20
47313宜野座村　　　　,79,12,54,-,-,1,-,-,-,-,32,11
47314金武町　　　　　,140,16,129,2,1,1,3,1,-,1,82,28
47315伊江村　　　　　,33,6,67,-,-,-,1,-,-,-,14,7
47324読谷村　　　　　,393,48,312,-,-,5,2,-,-,-,230,85
47325嘉手納町　　　　,146,23,149,-,-,2,2,-,-,-,82,46
47326北谷町　　　　　,355,32,200,-,-,5,6,1,1,-,229,99
47327北中城村　　　　,152,26,123,-,-,1,4,1,1,-,71,46
47328中城村　　　　　,248,18,130,-,-,1,3,-,-,-,118,33
47329西原町　　　　　,342,36,224,-,-,2,1,1,1,-,160,69
47348与那原町　　　　,272,34,152,1,1,2,4,1,1,-,132,55
47350南風原町　　　　,596,74,230,-,-,7,7,2,2,-,245,60
47353渡嘉敷村　　　　,7,-,9,-,-,-,-,-,-,-,5,5
47354座間味村　　　　,12,-,9,-,-,-,-,-,-,-,9,6
47355粟国村　　　　　,3,1,10,-,-,-,-,-,-,-,1,2
47356渡名喜村　　　　,2,1,6,-,-,-,-,-,-,-,1,1
47357南大東村　　　　,19,1,13,-,-,1,-,1,1,-,7,5
47358北大東村　　　　,7,-,3,-,-,-,-,-,-,-,2,1
47359伊平屋村　　　　,7,2,17,-,-,-,2,-,-,-,7,2
47360伊是名村　　　　,15,2,24,-,-,-,-,-,-,-,5,7
47361久米島町　　　　,58,9,109,-,-,2,1,1,1,-,48,18
47362八重瀬町　　　　,405,39,230,1,1,4,2,1,1,-,177,58
47375多良間村　　　　,12,1,15,-,-,-,-,-,-,-,3,1
47381竹富町　　　　　,57,4,48,-,-,-,-,-,-,-,39,12
47382与那国町　　　　,19,4,21,-,-,-,-,-,-,-,10,4
