平成２９年,人口動態統計,,
中巻　総覧　第２表－０１　人口動態総覧，都道府県（北海道）；保健所・市区町村別
,出生数,（再掲）,死亡数,（再掲）, ,死産数, ,周産期死亡, , ,婚姻件数,離婚件数
,　　　,2500g未満,　　　,乳児死亡数,新生児,自然死産,人工死産,総　数,22週以後,早期新生児,　　　,　　　
,,,,,死亡数,,,,の死産数,死亡数,,
０１北海道　　,34040,3234,62417,65,33,430,560,149,123,26,23960,10147
　　札幌市　　,13821,1304,18668,25,14,178,224,58,45,13,10134,4003
　　その他の市,14655,1415,30085,32,15,182,266,65,54,11,10381,4672
　　郡　部　　,5564,515,13664,8,4,70,70,26,24,2,3445,1472
0110札幌市　　　　　　　,13821,1304,18668,25,14,178,224,58,45,13,　　　　...,　　　　...
0136小樽市　　　　　　　,544,52,1885,1,1,4,17,1,-,1,　　　　...,　　　　...
0137市立函館　　　　　　,1410,129,3633,4,2,15,38,7,5,2,　　　　...,　　　　...
0138旭川市　　　　　　　,2201,192,4186,5,2,30,33,10,8,2,　　　　...,　　　　...
0151江別　　　　　　　　,1022,88,2108,2,1,14,18,7,7,-,　　　　...,　　　　...
0153千歳　　　　　　　　,1592,150,1956,4,3,23,30,7,5,2,　　　　...,　　　　...
0154岩見沢　　　　　　　,743,69,2465,1,1,8,11,3,2,1,　　　　...,　　　　...
0159滝川　　　　　　　　,487,51,1774,-,-,6,10,3,3,-,　　　　...,　　　　...
0161深川　　　　　　　　,129,13,507,-,-,2,4,1,1,-,　　　　...,　　　　...
0163富良野　　　　　　　,249,27,491,-,-,4,2,1,1,-,　　　　...,　　　　...
0165名寄　　　　　　　　,387,35,943,1,1,4,2,2,1,1,　　　　...,　　　　...
0167岩内　　　　　　　　,123,16,308,-,-,1,2,-,-,-,　　　　...,　　　　...
0168倶知安　　　　　　　,423,48,1062,1,1,-,5,1,-,1,　　　　...,　　　　...
0169江差　　　　　　　　,105,7,408,-,-,2,1,-,-,-,　　　　...,　　　　...
0172渡島　　　　　　　　,646,54,1619,3,2,7,16,3,2,1,　　　　...,　　　　...
0173八雲　　　　　　　　,190,15,585,-,-,3,1,1,1,-,　　　　...,　　　　...
0175室蘭　　　　　　　　,1062,120,2668,1,-,17,19,8,8,-,　　　　...,　　　　...
0176苫小牧　　　　　　　,1441,130,2413,4,1,15,23,5,4,1,　　　　...,　　　　...
0177浦河　　　　　　　　,150,12,300,1,-,2,2,-,-,-,　　　　...,　　　　...
