平成２９年,人口動態統計,,
中巻　総覧　第２表－１３　人口動態総覧，都道府県（東京都）；保健所・市区町村別
,出生数,（再掲）,死亡数,（再掲）, ,死産数, ,周産期死亡, , ,婚姻件数,離婚件数
,　　　,2500g未満,　　　,乳児死亡数,新生児,自然死産,人工死産,総　数,22週以後,早期新生児,　　　,　　　
,,,,,死亡数,,,,の死産数,死亡数,,
１３東　京　　,108990,9905,116451,169,86,1095,1203,373,303,70,84991,23055
　　都区部　　,78444,7149,78278,119,58,828,892,277,230,47,65944,16399
　　市　部　　,30055,2703,36838,50,28,260,304,95,72,23,18761,6501
　　郡　部　　,491,53,1335,-,-,7,7,1,1,-,286,155
1364千代田　　　　　　　,659,58,388,1,1,11,9,4,4,-,　　　　...,　　　　...
1369中央区　　　　　　　,2031,171,876,3,2,20,19,6,5,1,　　　　...,　　　　...
1360みなと　　　　　　　,2942,255,1508,2,2,33,36,9,7,2,　　　　...,　　　　...
1362新宿区　　　　　　　,2606,216,2654,5,2,27,36,8,7,1,　　　　...,　　　　...
1366文京　　　　　　　　,2027,161,1489,2,1,13,21,1,1,-,　　　　...,　　　　...
1354台東　　　　　　　　,1602,142,1890,4,2,14,19,8,6,2,　　　　...,　　　　...
1367墨田区　　　　　　　,2502,237,2557,3,1,23,35,7,6,1,　　　　...,　　　　...
1368江東区　　　　　　　,4517,422,4110,7,3,56,51,14,11,3,　　　　...,　　　　...
1363品川区　　　　　　　,3714,340,2960,5,-,44,34,15,15,-,　　　　...,　　　　...
1355目黒区　　　　　　　,2511,227,1970,4,2,36,31,8,6,2,　　　　...,　　　　...
1356大田区　　　　　　　,5658,528,6339,10,5,56,66,25,21,4,　　　　...,　　　　...
1327世田谷　　　　　　　,7459,654,6731,9,2,79,63,18,17,1,　　　　...,　　　　...
1331渋谷区　　　　　　　,2112,181,1590,2,1,19,24,4,3,1,　　　　...,　　　　...
1361中野区　　　　　　　,2602,265,2686,-,-,23,29,6,6,-,　　　　...,　　　　...
1357杉並　　　　　　　　,4506,446,4365,7,7,49,38,24,18,6,　　　　...,　　　　...
1337池袋　　　　　　　　,2109,214,2397,2,-,22,31,5,5,-,　　　　...,　　　　...
1358北区　　　　　　　　,2736,265,3514,4,4,22,29,13,10,3,　　　　...,　　　　...
1342荒川区　　　　　　　,1766,176,2065,4,4,17,25,8,4,4,　　　　...,　　　　...
1359板橋区　　　　　　　,4419,392,4945,9,3,53,52,21,18,3,　　　　...,　　　　...
