平成２９年,人口動態統計,,
中巻　総覧　第２表－１４　人口動態総覧，都道府県（神奈川県）；保健所・市区町村別
,出生数,（再掲）,死亡数,（再掲）, ,死産数, ,周産期死亡, , ,婚姻件数,離婚件数
,　　　,2500g未満,　　　,乳児死亡数,新生児,自然死産,人工死産,総　数,22週以後,早期新生児,　　　,　　　
,,,,,死亡数,,,,の死産数,死亡数,,
１４神奈川　　,68131,6520,80352,157,80,673,692,259,192,67,46274,15370
　　横浜市　　,27763,2653,32385,62,31,277,286,104,78,26,18656,6228
　　川崎市　　,13778,1284,10997,28,13,121,121,49,39,10,10115,2504
　　相模原市　,5045,504,6073,13,5,59,56,21,17,4,3301,1256
　　その他の市,19925,1936,27579,52,29,203,208,79,54,25,13143,4883
　　郡　部　　,1620,143,3318,2,2,13,21,6,4,2,1059,499
1429横浜市　　　　　　　,27763,2653,32385,62,31,277,286,104,78,26,　　　　...,　　　　...
1403川崎市　　　　　　　,13778,1284,10997,28,13,121,121,49,39,10,　　　　...,　　　　...
1402相模原市　　　　　　,5045,504,6073,13,5,59,56,21,17,4,　　　　...,　　　　...
1441横須賀市　　　　　　,2418,229,4702,7,6,20,28,10,5,5,　　　　...,　　　　...
1443藤沢市　　　　　　　,3379,366,3489,7,5,32,27,13,9,4,　　　　...,　　　　...
1444茅ケ崎市　　　　　　,1601,141,1835,4,2,17,15,6,4,2,　　　　...,　　　　...
1451平塚　　　　　　　　,3759,366,5535,9,2,42,43,15,13,2,　　　　...,　　　　...
1452鎌倉　　　　　　　　,1704,150,3644,3,3,20,17,7,5,2,　　　　...,　　　　...
1454小田原　　　　　　　,2031,209,4000,6,5,21,30,10,5,5,　　　　...,　　　　...
1457厚木　　　　　　　　,6137,568,7014,16,7,60,64,22,16,6,　　　　...,　　　　...
1462茅ケ崎　　　　　　　,516,50,678,2,1,4,5,2,1,1,　　　　...,　　　　...
14101横浜市鶴見区　　,2465,232,2364,7,1,30,25,4,3,1,1715,549
14102横浜市神奈川区　,1969,208,2034,1,1,14,18,7,6,1,1571,385
14103横浜市西区　　　,803,96,854,-,-,13,6,4,4,-,723,175
14104横浜市中区　　　,877,83,1560,3,2,12,10,5,3,2,855,366
14105横浜市南区　　　,1209,120,2199,3,1,12,17,5,4,1,1057,442
14106横浜市保土ケ谷区,1408,128,2041,7,3,10,14,4,1,3,962,323
14107横浜市磯子区　　,1273,141,1655,4,2,11,8,4,3,1,752,284
14108横浜市金沢区　　,1215,109,1908,1,-,11,15,2,2,-,735,315
