平成２９年,人口動態統計,,
中巻　総覧　第２表－４７　人口動態総覧，都道府県(沖縄県)；保健所・市区町村別
,出生数,（再掲）,死亡数,（再掲）, ,死産数, ,周産期死亡, , ,婚姻件数,離婚件数
,　　　,2500g未満,　　　,乳児死亡数,新生児,自然死産,人工死産,総　数,22週以後,早期新生児,　　　,　　　
,,,,,死亡数,,,,の死産数,死亡数,,
４７沖　縄　　,16217,1798,11945,41,22,202,226,62,46,16,8084,3484
　　市　部　　,12433,1411,9079,30,16,153,183,50,37,13,6330,2755
　　郡　部　　,3784,387,2866,11,6,49,43,12,9,3,1754,729
4731那覇市　　　　　　　,3084,334,2717,11,7,35,42,12,8,4,　　　　...,　　　　...
4751北部　　　　　　　　,997,96,1110,-,-,18,23,4,4,-,　　　　...,　　　　...
4755南部　　　　　　　　,5089,553,2994,11,3,68,61,22,19,3,　　　　...,　　　　...
4756宮古　　　　　　　　,532,53,640,-,-,5,9,1,1,-,　　　　...,　　　　...
4757八重山　　　　　　　,638,69,445,-,-,5,9,3,3,-,　　　　...,　　　　...
4758中部　　　　　　　　,5877,693,4039,19,12,71,82,20,11,9,　　　　...,　　　　...
47201那覇市　　　　　,3084,334,2717,11,7,35,42,12,8,4,1775,697
47205宜野湾市　　　　,1241,152,632,3,2,17,19,3,1,2,652,259
47207石垣市　　　　　,572,64,389,-,-,4,7,3,3,-,311,155
47208浦添市　　　　　,1289,129,736,1,-,17,12,9,9,-,651,272
47209名護市　　　　　,667,64,520,-,-,15,19,4,4,-,325,146
47210糸満市　　　　　,757,86,493,2,-,6,10,-,-,-,328,141
47211沖縄市　　　　　,1641,207,1119,5,2,23,30,6,4,2,851,386
47212豊見城市　　　　,836,105,374,1,-,8,8,2,2,-,317,141
47213うるま市　　　　,1348,170,1102,4,3,14,20,6,3,3,637,310
47214宮古島市　　　　,528,53,625,-,-,5,9,1,1,-,280,148
47215南城市　　　　　,470,47,372,3,2,9,7,4,2,2,203,100
47301国頭村　　　　　,26,1,76,-,-,-,-,-,-,-,19,11
47302大宜味村　　　　,20,3,70,-,-,-,-,-,-,-,14,4
47303東村　　　　　　,11,1,24,-,-,-,-,-,-,-,6,5
47306今帰仁村　　　　,81,8,135,-,-,2,1,-,-,-,33,24
47308本部町　　　　　,115,7,185,-,-,1,3,-,-,-,57,29
47311恩納村　　　　　,93,11,95,-,-,-,1,-,-,-,59,29
47313宜野座村　　　　,69,8,68,-,-,-,-,-,-,-,27,6
47314金武町　　　　　,147,14,108,2,2,2,1,1,-,1,56,16
47315伊江村　　　　　,55,8,53,-,-,-,-,-,-,-,20,7
47324読谷村　　　　　,406,40,281,4,2,5,4,-,-,-,195,88
47325嘉手納町　　　　,162,18,133,-,-,1,4,1,1,-,54,20
47326北谷町　　　　　,334,29,214,-,-,6,3,1,1,-,209,78
47327北中城村　　　　,175,20,141,-,-,2,-,1,1,-,82,32
47328中城村　　　　　,261,24,146,1,1,1,-,1,-,1,123,44
47329西原町　　　　　,335,43,238,1,-,5,2,1,1,-,150,77
47348与那原町　　　　,278,36,126,1,-,7,1,2,2,-,111,40
47350南風原町　　　　,610,59,243,1,-,5,10,1,1,-,250,90
47353渡嘉敷村　　　　,4,1,7,-,-,-,-,-,-,-,6,1
47354座間味村　　　　,6,1,12,-,-,-,-,-,-,-,8,5
47355粟国村　　　　　,8,-,13,-,-,1,-,-,-,-,4,4
47356渡名喜村　　　　,2,-,5,-,-,-,-,-,-,-,1,-
47357南大東村　　　　,9,1,9,-,-,1,1,-,-,-,4,3
47358北大東村　　　　,6,-,5,-,-,-,-,-,-,-,6,1
47359伊平屋村　　　　,10,2,18,-,-,-,-,-,-,-,7,1
47360伊是名村　　　　,12,2,29,-,-,-,-,-,-,-,3,1
47361久米島町　　　　,74,5,107,-,-,2,5,-,-,-,32,14
47362八重瀬町　　　　,405,40,254,1,1,7,5,3,2,1,161,84
47375多良間村　　　　,4,-,15,-,-,-,-,-,-,-,5,-
47381竹富町　　　　　,42,3,39,-,-,-,1,-,-,-,36,14
47382与那国町　　　　,24,2,17,-,-,1,1,-,-,-,16,1
