平成３０年,人口動態統計,,
中巻　総覧　第２表－１４　人口動態総覧（件数），都道府県（神奈川県）・市部－郡部－保健所－市区町村別
,出生数,（再掲）,死亡数,（再掲）, ,死産数, ,周産期死亡, , ,婚姻件数,離婚件数
,　　　,2500g未満,　　　,乳児死亡数,新生児,自然死産,人工死産,総　数,22週以後,早期新生児,　　　,　　　
,,,,,死亡数,,,,の死産数,死亡数,,
１４神奈川　　,66564,6200,82336,134,64,639,785,224,171,53,45079,14943
　　横浜市　　,27170,2528,33213,49,23,255,323,86,66,20,18191,5958
　　川崎市　　,13420,1188,11174,18,13,118,147,41,29,12,9899,2362
　　相模原市　,5006,509,6286,24,11,56,65,24,18,6,3250,1265
　　その他の市,19407,1815,28284,40,16,195,228,69,54,15,12766,4868
　　郡　部　　,1561,160,3379,3,1,15,22,4,4,-,973,490
1402相模原市　　　　　　,5006,509,6286,24,11,56,65,24,18,6,　　　　...,　　　　...
1403川崎市　　　　　　　,13420,1188,11174,18,13,118,147,41,29,12,　　　　...,　　　　...
1429横浜市　　　　　　　,27170,2528,33213,49,23,255,323,86,66,20,　　　　...,　　　　...
1441横須賀市　　　　　　,2325,224,4765,4,3,28,34,10,7,3,　　　　...,　　　　...
1443藤沢市　　　　　　　,3343,323,3607,4,2,30,32,8,6,2,　　　　...,　　　　...
1444茅ヶ崎市　　　　　　,2107,192,2609,2,1,26,24,10,9,1,　　　　...,　　　　...
1451平塚　　　　　　　　,3507,327,5761,8,1,38,37,9,8,1,　　　　...,　　　　...
1452鎌倉　　　　　　　　,1671,140,3553,4,4,18,18,10,8,2,　　　　...,　　　　...
1454小田原　　　　　　　,1963,179,4025,4,1,20,32,9,8,1,　　　　...,　　　　...
1457厚木　　　　　　　　,6052,590,7343,17,5,50,73,17,12,5,　　　　...,　　　　...
14101横浜市鶴見区　　,2359,206,2503,2,-,20,32,5,5,-,1566,522
14102横浜市神奈川区　,1943,180,2077,4,3,21,14,10,7,3,1503,390
14103横浜市西区　　　,774,83,893,2,-,10,14,2,2,-,791,170
14104横浜市中区　　　,893,83,1588,1,1,14,15,5,5,-,859,331
14105横浜市南区　　　,1097,108,2156,1,-,19,17,7,7,-,1025,410
14106横浜市保土ケ谷区,1312,136,2044,1,1,11,17,2,1,1,941,325
14107横浜市磯子区　　,1225,108,1752,2,1,12,9,4,3,1,721,275
14108横浜市金沢区　　,1154,126,2014,3,1,9,13,3,2,1,677,299
14109横浜市港北区　　,3484,324,2400,3,1,29,27,8,7,1,2496,504
