date,price
19981021,10000
19981022,11049
19981023,10627
19981026,10310
19981027,10296
19981028,10240
19981029,10514
19981030,10648
19981102,11063
19981104,10951
19981105,10761
19981106,11049
19981109,10922
19981110,11070
19981111,10782
19981112,11134
19981113,11091
19981116,11521
19981117,11394
19981118,11436
19981119,11352
19981120,11359
19981124,11246
19981125,10958
19981126,11176
19981127,11141
19981130,11014
19981201,10943
19981202,11668
19981203,11105
19981204,11028
19981207,11781
19981208,11767
19981209,11788
19981210,11753
19981211,12801
19981214,12766
19981215,12231
19981216,12984
19981217,13611
19981218,13315
19981221,14075
19981222,14399
19981224,14047
19981225,13765
19981228,13920
19981229,14054
19981230,13857
19990104,13639
19990105,13568
19990106,14230
19990107,14772
19990108,15074
19990111,14483
19990112,14793
19990113,14927
19990114,14455
19990118,14265
19990119,14019
19990120,13456
19990121,13421
19990122,13090
19990125,12527
19990126,12534
19990127,12492
19990128,12576
19990129,12323
19990201,12069
19990202,12984
19990203,13048
19990204,13308
19990205,13329
19990208,13378
19990209,13301
19990210,13294
19990212,12935
19990215,12914
19990216,12351
19990217,12337
19990218,11732
19990219,11394
19990222,11387
19990223,11021
19990224,10803
19990225,11035
19990226,11084
19990301,10915
19990302,11077
19990303,10981
19990304,10866
19990305,11309
19990308,11162
19990309,11014
19990310,11007
19990311,11000
19990312,10936
19990315,10908
19990316,10528
19990317,10627
19990318,10662
19990319,10634
19990323,10662
19990324,10289
19990325,10303
19990326,9951
19990329,10043
19990330,10036
19990331,10219
19990401,10782
19990402,11577
19990405,11387
19990406,10753
19990407,10676
19990408,11028
19990409,10732
19990412,10352
19990413,10979
19990414,11858
19990415,11197
19990416,11549
19990419,12245
19990420,12534
19990421,12119
19990422,12210
19990423,12407
19990426,13076
19990427,13153
19990428,12801
19990430,12632
19990506,12851
19990507,15060
19990510,14687
19990511,14835
19990512,14920
19990513,15363
19990514,15117
19990517,14976
19990518,15841
19990519,15651
19990520,14751
19990521,14525
19990524,16243
19990525,16278
19990526,16573
19990527,16172
19990528,16348
19990531,16158
19990601,16686
19990602,16046
19990603,15328
19990604,15476
19990607,15694
19990608,15870
19990609,15278
19990610,15039
19990611,15666
19990614,14913
19990615,15870
19990616,15363
19990617,15173
19990618,14737
19990621,14406
19990622,14265
19990623,14821
19990624,15243
19990625,14758
19990628,14905
19990629,14603
19990630,14737
19990701,14575
19990702,14589
19990705,14089
19990706,13962
19990707,13962
19990708,16531
19990709,15982
19990712,15560
19990713,15729
19990714,15581
19990715,16074
19990716,16897
19990719,17038
19990721,16665
19990722,16327
19990723,16784
19990726,16482
19990727,16186
19990728,16214
19990729,15546
19990730,15644
19990802,15687
19990803,16341
19990804,16053
19990805,16003
19990806,16637
19990809,16475
19990810,16186
19990811,16123
19990812,15680
19990813,14511
19990816,14533
19990817,14258
19990818,14293
19990819,14708
19990820,14997
19990823,15081
19990824,15785
19990825,15314
19990826,15447
19990827,16355
19990830,16102
19990831,15454
19990901,15060
19990902,14744
19990903,15722
19990906,15124
19990907,14715
19990908,14772
19990909,14547
19990910,13962
19990913,13618
19990914,13533
19990916,13575
19990917,13906
19990920,13667
19990921,12829
19990922,12625
19990924,12893
19990927,13308
19990928,13245
19990929,13062
19990930,12907
19991001,12998
19991004,13308
19991005,13449
19991006,13174
19991007,14019
19991008,14188
19991012,14343
19991013,15152
19991014,14884
19991015,14877
19991018,14596
19991019,15187
19991020,14891
19991021,15539
19991022,15532
19991025,15426
19991026,14807
19991027,15138
19991028,15757
19991029,15518
19991101,15715
19991102,15581
19991104,16531
19991105,16271
19991108,16320
19991109,16271
19991110,16257
19991111,16637
19991112,16658
19991115,16137
19991116,15975
19991117,15666
19991118,16426
19991119,16545
19991122,16250
19991124,16834
19991125,16559
19991126,16299
19991129,16510
19991130,16031
19991201,16236
19991202,16102
19991203,16060
19991206,16376
19991207,16186
19991208,16573
19991209,16848
19991210,16475
19991213,16496
19991214,16348
19991215,16925
19991216,15081
19991217,15215
19991220,14413
19991221,15300
19991222,15328
19991224,14793
19991227,14835
19991228,13857
19991229,13857
19991230,13090
20000104,13582
20000105,13575
20000106,13829
20000107,15841
20000111,16236
20000112,16243
20000113,15975
20000114,16221
