date,price
19910603,10000
19910604,9757
19910605,9925
19910606,10000
19910607,10278
19910610,10454
19910611,10739
19910612,10420
19910613,10597
19910614,10521
19910617,10546
19910618,10555
19910619,10714
19910620,10899
19910621,10983
19910624,11000
19910625,11008
19910626,10932
19910627,10924
19910628,11176
19910701,11134
19910702,11445
19910703,11302
19910704,11655
19910705,11839
19910708,11705
19910709,11697
19910710,11428
19910711,11294
19910712,11294
19910715,11864
19910716,12427
19910717,12217
19910718,12477
19910719,12721
19910722,12452
19910723,12435
19910724,12452
19910725,12654
19910726,12385
19910729,12402
19910730,12016
19910731,11948
19910801,12242
19910802,12200
19910805,12032
19910806,12276
19910807,12645
19910808,12637
19910809,13116
19910812,13468
19910813,12805
19910814,13460
19910815,12763
19910816,12931
19910819,12956
19910820,12570
19910821,12301
19910822,12486
19910823,12158
19910826,12234
19910827,12016
19910828,11814
19910829,11646
19910830,11369
19910902,11210
19910903,11478
19910904,11478
19910905,12351
19910906,12763
19910909,12713
19910910,12461
19910911,12595
19910912,12494
19910913,12318
19910917,12444
19910918,12444
19910919,12074
19910920,11764
19910924,11722
19910925,11814
19910926,11932
19910927,11797
19910930,12066
19911001,11747
19911002,11722
19911003,11596
19911004,10966
19911007,10857
19911008,10966
19911009,11042
19911011,11033
19911014,11008
19911015,10958
19911016,10958
19911017,10949
19911018,10865
19911021,10765
19911022,10655
19911023,10949
19911024,10832
19911025,10932
19911028,11050
19911029,10932
19911030,10798
19911031,10907
19911101,10832
19911105,10639
19911106,10538
19911107,10823
19911108,10790
19911111,11033
19911112,11151
19911113,11201
19911114,11344
19911115,11151
19911118,11226
19911119,11377
19911120,11109
19911121,11126
19911122,11184
19911125,11075
19911126,10874
19911127,10882
19911128,10697
19911129,10697
19911202,10622
19911203,10790
19911204,10429
19911205,10328
19911206,10336
19911209,10135
19911210,9967
19911211,10202
19911212,10202
19911213,10185
19911216,9791
19911217,9488
19911218,8968
19911219,8766
19911220,8674
19911224,8850
19911225,9530
19911226,10084
19911227,10269
19911230,10177
19920106,10378
19920107,10387
19920108,9933
19920109,9396
19920110,9027
19920113,9035
19920114,8875
19920116,8875
19920117,9228
19920120,9236
19920121,9430
19920122,9253
19920123,9522
19920124,9623
19920127,9472
19920128,9388
19920129,9304
19920130,9354
19920131,9539
19920203,9757
19920204,9228
19920205,9362
19920206,9228
19920207,9480
19920210,9488
19920212,9564
19920213,9589
19920214,9849
19920217,9799
19920218,9581
19920219,9178
19920220,9656
19920221,9875
19920224,9623
19920225,9614
19920226,9849
19920227,10034
19920228,10026
19920302,10051
19920303,10168
19920304,9849
19920305,9858
19920306,10143
19920309,10168
19920310,9975
19920311,10059
19920312,10227
19920313,10613
19920316,10580
19920317,10538
19920318,10462
19920319,10462
19920323,10723
19920324,10546
19920325,10446
19920326,10479
19920327,10320
19920330,10328
19920331,10210
19920401,10202
19920402,9959
19920403,9757
19920406,9681
19920407,10000
19920408,9807
19920409,9791
19920410,9480
19920413,9371
19920414,9295
19920415,9278
19920416,9295
19920417,9085
19920420,9102
19920421,8733
19920422,8665
19920423,8733
19920424,8741
19920427,9035
19920428,9421
19920430,9152
19920501,9505
19920506,9488
19920507,9530
19920508,9589
19920511,9505
19920512,9488
19920513,9774
19920514,9623
19920515,9488
19920518,9555
19920519,9497
19920520,9497
19920521,9169
19920522,9069
19920525,8892
19920526,8867
19920527,8705
19920528,9152
19920529,9052
19920601,9136
19920602,8749
19920603,8632
19920604,8615
19920605,8632
19920608,8724
19920609,8716
19920610,8783
19920611,8976
19920612,8875
19920615,9069
19920616,9035
19920617,9077
19920618,8875
19920619,8968
19920622,9060
19920623,9077
19920624,9094
19920625,8842
19920626,8934
19920629,8959
19920630,9312
19920701,9312
19920702,9144
19920703,9329
19920706,9329
19920707,9421
19920708,9253
19920709,9178
19920710,9362
19920713,9211
19920714,8976
19920715,9077
19920716,8892
19920717,9060
19920720,9623
19920721,9740
19920722,10807
19920723,10706
19920724,10815
19920727,10412
