date,price
20080702,10000
20080703,9801
20080704,9366
20080707,9584
20080708,9783
20080709,9783
20080710,10019
20080711,9294
20080714,9131
20080715,8950
20080716,8932
20080717,9294
20080718,9511
20080722,8877
20080723,8116
20080724,7790
20080725,7174
20080728,6667
20080729,6522
20080730,6522
20080731,6740
20080801,6794
20080804,6613
20080805,7084
20080806,6885
20080807,7120
20080808,6885
20080811,6993
20080812,7048
20080813,7265
20080814,7084
20080815,6903
20080818,6848
20080819,7120
20080820,7573
20080821,7772
20080822,10182
20080825,10182
20080826,10308
20080827,10145
20080828,9674
20080829,10055
20080901,10055
20080902,10472
20080903,10453
20080904,11033
20080905,11377
20080908,12156
20080909,12555
20080910,11558
20080911,11558
20080912,11540
20080916,10852
20080917,9258
20080918,9439
20080919,9765
20080922,9620
20080924,10508
20080925,11106
20080926,11287
20080929,11758
20080930,12120
20081001,11359
20081002,9946
20081003,10164
20081006,9511
20081007,9493
20081008,9493
20081009,9711
20081010,10145
20081014,10145
20081015,10182
20081016,10182
20081017,10417
20081020,9910
20081021,9910
20081022,9693
20081023,10544
20081024,10798
20081027,12337
20081028,13352
20081029,13243
20081030,13388
20081031,13895
20081104,13877
20081105,13769
20081106,13877
20081107,13750
20081110,13732
20081111,14040
20081112,13895
20081113,13424
20081114,13424
20081117,13443
20081118,13316
20081119,13352
20081120,13370
20081121,13334
20081125,13044
20081126,12627
20081127,12591
20081128,12591
20081201,11776
20081202,11414
20081203,10616
20081204,10580
20081205,11178
20081208,10236
20081209,7953
20081210,7482
20081211,6903
20081212,6540
20081215,6305
20081216,5272
20081217,6287
20081218,6522
20081219,6975
20081222,6848
20081224,6323
20081225,6740
20081226,7102
20081229,6866
20081230,7283
20090105,7029
20090106,7247
20090107,7319
20090108,7247
20090109,7120
20090113,7066
20090114,7283
20090115,7283
20090116,7066
20090119,6993
20090120,6866
20090121,6812
20090122,6667
20090123,6613
20090126,6866
20090127,6450
20090128,6450
20090129,6450
20090130,6558
20090202,6558
20090203,6758
20090204,6830
20090205,6776
20090206,6287
20090209,6051
20090210,6287
20090212,5417
20090213,6631
20090216,6776
20090217,6776
20090218,7319
20090219,7464
20090220,7301
20090223,7029
20090224,7609
20090225,7029
20090226,6903
20090227,6903
20090302,6758
20090303,7265
20090304,6975
20090305,6975
20090306,6975
20090309,6993
20090310,6667
20090311,6667
20090312,6812
20090313,6812
20090316,6595
20090317,6432
20090318,6432
20090319,6649
20090323,7374
20090324,7120
20090325,7283
20090326,7283
20090327,7356
20090330,7700
20090331,7247
20090401,7501
20090402,7356
20090403,6903
20090406,6740
20090407,6577
20090408,6577
20090409,6577
20090410,6577
20090413,5979
20090414,5779
20090415,5671
20090416,5653
20090417,6432
20090420,6577
20090421,6577
20090422,7808
20090423,7627
20090424,7790
20090427,7627
20090428,7627
20090430,7808
20090501,8334
20090507,8660
20090508,8479
20090511,8787
20090512,9584
20090513,8787
20090514,9149
20090515,9167
20090518,9348
20090519,9167
20090520,9131
20090521,9149
20090522,9185
20090525,9584
20090526,9566
20090527,9185
20090528,9222
20090529,8153
20090601,8153
20090602,7247
20090603,7555
20090604,7446
20090605,7428
20090608,7899
20090609,7899
20090610,7754
20090611,7736
20090612,7917
20090615,7917
20090616,8298
20090617,9004
20090618,9004
20090619,10417
20090622,10888
20090623,10888
20090624,10707
20090625,10671
20090626,10852
20090629,10689
20090630,10707
20090701,10979
20090702,10997
20090703,11269
20090706,11087
20090707,11540
20090708,11558
20090709,12772
20090710,11993
20090713,11993
20090714,11830
20090715,13044
20090716,13298
20090717,13551
20090721,13189
20090722,12917
20090723,12827
20090724,12664
20090727,12011
20090728,11939
20090729,11631
20090730,11287
20090731,11178
20090803,11160
20090804,10689
20090805,10363
20090806,10091
20090807,9783
20090810,9674
20090811,9149
20090812,8406
20090813,8153
20090814,8225
20090817,8587
20090818,8569
20090819,8424
20090820,8261
20090821,7609
20090824,7754
20090825,8497
20090826,8225
20090827,8189
20090828,8171
20090831,8551
20090901,8044
20090902,8116
20090903,8370
20090904,8243
20090907,8225
20090908,8298
20090909,8334
20090910,8406
20090911,8334
20090914,8660
20090915,8587
20090916,8515
20090917,8443
20090918,8533
20090924,8443
20090925,8443
20090928,8497
20090929,8533
20090930,8696
20091001,8316
20091002,8660
20091005,8587
20091006,8279
20091007,8116
20091008,7736
20091009,7736
20091013,7827
20091014,7881
20091015,7845
20091016,7718
20091019,8279
20091020,7972
20091021,8044
20091022,7772
20091023,7446
20091026,7537
20091027,7808
20091028,7537
20091029,7609
20091030,7120
20091102,7102
20091104,6939
20091105,6957
20091106,7265
20091109,7211
20091110,7356
20091111,7374
20091112,7156
20091113,8696
20091116,8932
20091117,8895
20091118,8479
20091119,8370
20091120,8823
20091124,8750
20091125,8932
20091126,9276
20091127,9711
20091130,9294
20091201,8714
20091202,8279
20091203,7917
20091204,8026
20091207,8316
20091208,8877
20091209,9203
20091210,9656
20091211,9348
20091214,9312
20091215,9203
20091216,9058
20091217,9058
20091218,8443
20091221,9493
20091222,9475
20091224,9457
20091225,9602
20091228,8968
20091229,9366
20091230,9240
20100104,8461
20100105,9203
20100106,10272
20100107,10091
20100108,10598
20100112,10218
20100113,9529
20100114,9022
20100115,8678
20100118,8968
20100119,10073
20100120,11178
20100121,11613
20100122,14729
20100125,15580
20100126,18714
20100127,19167
20100128,20943
20100129,21069
20100201,19149
20100202,20453
20100203,19656
20100204,19022
20100205,20000
20100208,19240
20100209,20345
20100210,20798
20100212,21395
20100215,22500
20100216,22156
20100217,22138
20100218,24837
20100219,25019
20100222,27120
20100223,27718
20100224,25091
20100225,25000
20100226,24493
20100301,25345
20100302,24548
20100303,25924
20100304,25290
20100305,25743
20100308,25363
20100309,25852
20100310,25743
20100311,25363
20100312,25290
20100315,23587
20100316,23424
20100317,23714
20100318,24711
20100319,24294
20100323,23714
20100324,25019
20100325,24077
20100326,23261
20100329,23207
20100330,24856
20100331,23895
20100401,24149
20100402,24801
20100405,24783
20100406,25834
20100407,24493
20100408,24874
20100409,24312
20100412,24511
20100413,23261
20100414,25327
20100415,23352
20100416,22410
20100419,23243
20100420,21776
20100421,22591
20100422,23569
20100423,25417
20100426,24312
20100427,26160
20100428,26178
20100430,26160
20100506,25707
20100507,25707
20100510,25671
20100511,26341
20100512,26395
20100513,25635
20100514,26667
20100517,26214
20100518,25616
20100519,26486
20100520,26722
20100521,26033
20100524,26015
20100525,25580
20100526,26359
20100527,26377
20100528,26758
20100531,27156
20100601,27120
20100602,27120
20100603,27537
20100604,26522
20100607,26540
20100608,25164
20100609,26232
20100610,26305
20100611,25363
20100614,25345
20100615,25127
20100616,25091
20100617,25453
20100618,24439
20100621,24403
20100622,23986
20100623,23950
20100624,23406
20100625,23334
20100628,24638
20100629,24095
20100630,24711
20100701,25327
20100702,25290
20100705,25852
20100706,25200
20100707,24584
20100708,25417
20100709,24004
20100712,24620
20100713,23298
20100714,23787
20100715,24276
20100716,23877
20100720,24493
20100721,25272
20100722,25182
20100723,26667
20100726,26685
20100727,26214
20100728,26142
20100729,26939
20100730,26921
20100802,26939
20100803,26939
20100804,29077
20100805,27718
20100806,27881
20100809,27156
20100810,29892
20100811,28370
20100812,27156
20100813,27772
20100816,28424
20100817,28424
20100818,28461
20100819,27736
20100820,28026
20100823,28189
20100824,26848
20100825,27283
20100826,28569
20100827,30218
20100830,29946
20100831,30598
20100901,30182
20100902,30272
20100903,30961
20100906,31269
20100907,30000
20100908,29801
20100909,28080
20100910,28062
20100913,27573
20100914,27609
20100915,27265
20100916,27500
20100917,28225
20100921,28243
20100922,29022
20100924,28189
20100927,28497
20100928,28352
20100929,27990
20100930,28171
20101001,28062
20101004,28225
20101005,28135
20101006,28207
20101007,28008
20101008,30109
20101012,31993
20101013,32863
20101014,34167
20101015,33914
20101018,36993
20101019,35924
20101020,35200
20101021,36341
20101022,37356
20101025,37356
20101026,37048
20101027,36885
20101028,36015
20101029,35653
20101101,36468
20101102,36649
20101104,36558
20101105,37301
20101108,37446
20101109,39964
20101110,40272
20101111,38805
20101112,42482
20101115,42863
20101116,42573
20101117,44058
20101118,42591
20101119,41631
20101122,41848
20101124,42790
20101125,42899
20101126,40417
20101129,40218
20101130,38769
20101201,39439
20101202,39819
20101203,40417
20101206,39385
20101207,38606
20101208,39656
20101209,39529
20101210,39113
20101213,39167
20101214,39077
20101215,38805
20101216,39113
20101217,38533
20101220,36975
20101221,36830
20101222,38135
20101224,38388
20101227,40616
20101228,42428
20101229,40091
20101230,40308
20110104,40019
20110105,36993
20110106,37283
20110107,38678
20110111,40526
20110112,39946
20110113,39403
20110114,38189
20110117,37808
20110118,38062
20110119,38678
20110120,40761
20110121,41812
20110124,41975
20110125,42700
20110126,42736
20110127,42247
20110128,42718
20110131,42446
20110201,42193
20110202,41957
20110203,41377
20110204,40924
20110207,40924
20110208,40453
20110209,40725
20110210,40580
20110214,40019
20110215,40997
20110216,41540
20110217,41522
20110218,42356
20110221,42845
20110222,43569
20110223,42808
20110224,42827
20110225,43479
20110228,52899
20110301,44203
20110302,44819
20110303,44620
20110304,44131
20110307,45145
20110308,42736
20110309,42265
20110310,42138
20110311,34711
20110314,34693
20110315,32881
20110316,32283
20110317,30943
20110318,30453
20110322,32772
20110323,32591
20110324,31613
20110325,33732
20110328,34222
20110329,35019
20110330,34674
20110331,34222
20110401,33189
20110404,33026
20110405,34964
20110406,34946
20110407,34185
20110408,33769
20110411,34040
20110412,33624
20110413,33968
20110414,33551
20110415,32736
20110418,35327
20110419,35779
20110420,35961
20110421,34946
20110422,34982
20110425,35707
20110426,35272
20110427,35453
20110428,35508
20110502,35834
20110506,36106
20110509,36160
20110510,35544
20110511,35616
20110512,35381
20110513,35145
20110516,35852
20110517,36214
20110518,36812
20110519,35707
20110520,35019
20110523,35345
20110524,34638
20110525,34566
20110526,35779
20110527,35363
20110530,34837
20110531,34892
20110601,35182
20110602,36305
20110603,35852
20110606,36160
20110607,35852
20110608,34765
20110609,33298
20110610,33352
20110613,33298
20110614,33261
20110615,33370
20110616,34457
20110617,34312
20110620,34077
20110621,33606
20110622,33443
20110623,33116
20110624,33080
20110627,34149
20110628,33678
20110629,34131
20110630,34348
20110701,33062
20110704,33116
20110705,32754
20110706,32790
20110707,32845
20110708,33008
20110711,32283
20110712,31848
20110713,31921
20110714,32265
20110715,32356
20110719,33606
20110720,34656
20110721,34711
20110722,34638
20110725,35109
20110726,35182
20110727,34475
20110728,34095
20110729,33587
20110801,33859
20110802,37356
20110803,36432
20110804,37084
20110805,37048
20110808,38732
20110809,37845
20110810,37501
20110811,36812
20110812,36359
20110815,34892
20110816,34874
20110817,35544
20110818,34385
20110819,34529
20110822,36522
20110823,36649
20110824,36921
20110825,36939
20110826,36903
20110829,37700
20110830,38026
20110831,38080
20110901,37935
20110902,38479
20110905,41395
20110906,42066
20110907,43352
20110908,43225
20110909,43135
20110912,43207
20110913,43479
20110914,42265
20110915,42193
20110916,43859
20110920,46414
20110921,48678
20110922,47845
20110926,50055
20110927,49529
20110928,49385
20110929,49403
20110930,48497
20111003,50218
20111004,47464
20111005,46305
20111006,46667
20111007,47790
20111011,48642
