date,price
20011030,10000
20011031,9927
20011101,10590
20011102,10163
20011105,9971
20011106,9912
20011107,10045
20011108,10310
20011109,10089
20011112,10295
20011113,10280
20011114,9853
20011115,9706
20011116,9809
20011119,9912
20011120,9780
20011121,9750
20011122,9662
20011126,10251
20011127,10074
20011128,10192
20011129,10280
20011130,10869
20011203,10869
20011204,10457
20011205,10487
20011206,10678
20011207,10236
20011210,10590
20011211,10943
20011212,11238
20011213,10914
20011214,10457
20011217,10163
20011218,10059
20011219,9794
20011220,9426
20011221,10163
20011225,9765
20011226,9367
20011227,9352
20011228,9279
20020104,8881
20020107,8793
20020108,8837
20020109,8778
20020110,8704
20020111,8439
20020115,8793
20020116,8646
20020117,8881
20020118,8646
20020121,8646
20020122,7909
20020123,7674
20020124,8012
20020125,7924
20020128,7688
20020129,7556
20020130,7526
20020131,7688
20020201,7394
20020204,7512
20020205,7644
20020206,7674
20020207,7467
20020208,7408
20020212,7217
20020213,7350
20020214,7129
20020215,6864
20020218,6598
20020219,6760
20020220,6319
20020221,6540
20020222,6422
20020225,6216
20020226,6378
20020227,5995
20020228,6039
20020301,6046
20020304,5803
20020305,5715
20020306,5553
20020307,5420
20020308,5759
20020311,5759
20020312,5965
20020313,6098
20020314,6245
20020315,6127
20020318,6216
20020319,6378
20020320,6495
20020322,6540
20020325,6687
20020326,6481
20020327,6392
20020328,6157
20020329,6289
20020401,6245
20020402,6584
20020403,6363
20020404,6540
20020405,6157
20020408,6127
20020409,6157
20020410,5936
20020411,5936
20020412,6127
20020415,6245
20020416,6201
20020417,6289
20020418,6643
20020419,6422
20020422,6319
20020423,6363
20020424,6657
20020425,7099
20020426,7246
20020430,7188
20020501,7026
20020502,7188
20020507,7011
20020508,6952
20020509,6922
20020510,7261
20020513,7394
20020514,7423
20020515,7526
20020516,7629
20020517,7467
20020520,7261
20020521,7173
20020522,7202
20020523,7026
20020524,6864
20020527,7320
20020528,7143
20020529,6967
20020530,6952
20020531,6702
20020603,6716
20020604,6746
20020605,6540
20020606,6584
20020607,6569
20020610,6775
20020611,6775
20020612,6908
20020613,7070
20020614,6864
20020617,7070
20020618,7173
20020619,7143
20020620,7423
20020621,7423
20020624,7276
20020625,7350
20020626,7276
20020627,7026
20020628,7143
20020701,7276
20020702,6996
20020703,6908
20020704,6849
20020705,6937
20020708,7836
20020709,7880
20020710,7983
20020711,7732
20020712,7335
20020715,7423
20020716,7438
20020717,7453
20020718,7394
20020719,7482
20020722,7585
20020723,7497
20020724,7615
20020725,8042
20020726,7968
20020729,7821
20020730,7762
20020731,7703
20020801,7350
20020802,7806
20020805,7998
20020806,8366
20020807,8292
20020808,8837
20020809,8925
20020812,9529
20020813,9397
20020814,9559
20020815,9279
20020816,9735
20020819,10000
20020820,10000
20020821,9912
20020822,12828
20020823,12784
20020826,12710
20020827,12858
20020828,13167
20020829,13653
20020830,13270
20020902,13447
20020903,11812
20020904,12121
20020905,12298
20020906,12180
20020909,11930
20020910,12077
20020911,12519
20020912,12372
20020913,11945
20020917,11945
20020918,12269
20020919,13108
20020920,13491
20020924,11547
20020925,11105
20020926,10899
20020927,11179
20020930,10973
20021001,10958
20021002,10560
20021003,10472
20021004,10280
20021007,10781
20021008,10280
20021009,10295
20021010,10295
20021011,9986
20021015,9721
20021016,9529
20021017,9632
20021018,8837
20021021,8749
20021022,8881
20021023,8940
20021024,8999
20021025,8528
20021028,8218
20021029,8233
20021030,8204
20021031,8631
20021101,8601
20021105,8719
20021106,8970
20021107,9205
20021108,9043
20021111,9205
20021112,9087
20021113,9146
20021114,8940
20021115,8557
20021118,8425
20021119,8248
20021120,8263
20021121,8160
20021122,8056
20021125,8145
20021126,7806
20021127,7821
20021128,7629
20021129,7777
20021202,8042
20021203,7644
20021204,7629
20021205,7497
20021206,8690
20021209,8322
20021210,9308
20021211,9190
20021212,9190
20021213,9308
20021216,9573
20021217,9853
20021218,10472
20021219,9912
20021220,9647
20021224,9514
20021225,9514
20021226,9338
20021227,9647
20021230,9647
20030106,9721
20030107,9912
20030108,9676
20030109,9647
20030110,9573
20030114,9912
20030115,9927
20030116,9794
20030117,9559
20030120,9809
20030121,9956
20030122,10074
20030123,9986
20030124,9647
20030127,9573
20030128,9397
20030129,9618
20030130,9441
20030131,9485
20030203,9264
20030204,8793
20030205,8881
20030206,8955
20030207,9058
20030210,9235
20030212,8881
20030213,9146
20030214,8911
20030217,8690
20030218,9117
20030219,9205
20030220,9132
20030221,9426
20030224,9279
20030225,9249
20030226,8837
20030227,8793
20030228,8984
20030303,8631
20030304,8660
20030305,8925
20030306,8808
20030307,8763
20030310,9190
20030311,9176
20030312,9117
20030313,9220
20030314,9190
20030317,9264
20030318,9529
20030319,9043
20030320,8704
20030324,8616
20030325,8601
20030326,8336
20030327,8366
20030328,8631
20030331,9058
20030401,9411
20030402,9308
20030403,9662
20030404,9190
20030407,9426
20030408,9559
20030409,11297
20030410,12269
20030411,11503
20030414,11444
20030415,11562
20030416,11503
20030417,11238
20030418,10958
20030421,10825
20030422,11193
20030423,11179
20030424,11002
20030425,11238
20030428,11164
20030430,11473
20030501,11238
20030502,10811
20030506,10752
20030507,10383
20030508,10236
20030509,9883
20030512,9971
20030513,9603
20030514,10059
20030515,11179
20030516,10369
20030519,10045
20030520,10457
20030521,10472
20030522,10531
20030523,9942
20030526,10221
20030527,10015
20030528,10074
20030529,9735
20030530,9573
20030602,9750
20030603,9706
20030604,9338
20030605,9235
20030606,9529
20030609,9514
20030610,9824
20030611,9146
20030612,8719
20030613,8675
20030616,8454
20030617,8395
20030618,8542
20030619,8793
20030620,9087
20030623,8484
20030624,8749
20030625,8778
20030626,8160
20030627,8189
20030630,8322
20030701,8307
20030702,8366
20030703,8513
20030704,8439
20030707,8734
20030708,8616
20030709,9058
20030710,8940
20030711,9102
20030714,9426
20030715,9544
20030716,9382
20030717,9132
20030718,9014
20030722,8911
20030723,8911
20030724,8734
20030725,8557
20030728,8837
20030729,8925
20030730,8572
20030731,8454
20030801,8204
20030804,8233
20030805,8071
20030806,8307
20030807,8248
20030808,8189
20030811,8145
20030812,7968
20030813,7644
20030814,7688
20030815,7968
20030818,7777
20030819,8130
20030820,7865
20030821,8160
20030822,8189
20030825,8130
20030826,8277
20030827,8528
20030828,8542
20030829,8377
20030901,8513
20030902,8454
20030903,8307
20030904,8513
20030905,8587
20030908,8616
20030909,8542
20030910,8808
20030911,8572
20030912,8557
20030916,8425
20030917,8542
20030918,8263
20030919,8130
20030922,8012
20030924,7894
20030925,7821
20030926,7806
20030929,7865
20030930,7777
20031001,7674
20031002,7408
20031003,7541
20031006,7379
20031007,7688
20031008,8056
20031009,7998
20031010,7850
20031014,7894
20031015,7821
20031016,7850
20031017,7732
20031020,7791
20031021,8130
20031022,7836
20031023,7983
20031024,8410
20031027,8749
20031028,8704
20031029,8852
20031030,9102
20031031,8822
20031104,8778
20031105,8587
20031106,8631
20031107,8970
20031110,8911
20031111,8940
20031112,9043
20031113,8852
20031114,9352
20031117,9308
20031118,9500
20031119,9691
20031120,9927
20031121,9897
20031125,11208
20031126,11473
20031127,11297
20031128,10928
20031201,11076
20031202,11061
20031203,10752
20031204,10678
20031205,10516
20031208,10516
20031209,10545
20031210,10545
20031211,10369
20031212,10487
20031215,10560
20031216,10545
20031217,10737
20031218,10575
20031219,10545
20031222,10531
20031224,10457
20031225,10501
20031226,10325
20031229,9411
20031230,9559
20040105,9470
20040106,8984
20040107,8822
20040108,8660
20040109,8925
20040113,9043
20040114,8616
20040115,8616
20040116,8439
20040119,8704
20040120,8587
20040121,8513
20040122,8454
20040123,8704
20040126,8734
20040127,9028
20040128,9117
20040129,9161
20040130,9411
20040202,9750
20040203,9514
20040204,9028
20040205,9102
20040206,9735
20040209,9514
20040210,9190
20040212,9809
20040213,8866
20040216,8572
20040217,8425
20040218,8484
20040219,8793
20040220,8866
20040223,8984
20040224,9367
20040225,9411
20040226,9176
20040227,9132
20040301,8940
20040302,8616
20040303,8822
20040304,8675
20040305,8086
20040308,8572
20040309,8336
20040310,8425
20040311,8204
20040312,8248
20040315,8248
20040316,8616
20040317,8366
20040318,8366
20040319,8425
20040322,8778
20040323,8572
20040324,8793
20040325,8734
20040326,9132
20040329,8822
20040330,8528
20040331,8587
20040401,9014
20040402,9028
20040405,9397
20040406,9794
20040407,9544
20040408,9338
20040409,9397
20040412,9323
20040413,9028
20040414,8970
20040415,8763
20040416,8837
20040419,9676
20040420,9352
20040421,9573
20040422,10045
20040423,10192
20040426,10236
20040427,10207
20040428,10428
20040430,10428
20040506,10413
20040507,10177
20040510,10163
20040511,10531
20040512,9897
20040513,10015
20040514,9971
20040517,9912
20040518,10015
20040519,10000
20040520,9868
20040521,9883
20040524,9868
20040525,10236
20040526,10059
20040527,10251
20040528,10207
20040531,9883
20040601,9765
20040602,9721
20040603,9544
20040604,9411
20040607,9868
20040608,9676
20040609,9735
20040610,10000
20040611,9927
20040614,10030
20040615,9794
20040616,9573
20040617,9397
20040618,9485
20040621,9662
20040622,9441
20040623,9632
20040624,9529
20040625,9662
20040628,9603
20040629,9794
20040630,9868
20040701,9868
20040702,9853
20040705,9883
20040706,9868
20040707,9735
20040708,9676
20040709,9942
20040712,9765
20040713,9942
20040714,9500
20040715,9323
20040716,10000
20040720,9986
20040721,9883
20040722,10015
20040723,10251
20040726,10192
20040727,10045
20040728,9838
20040729,9794
20040730,9897
20040802,9853
20040803,9971
20040804,9942
20040805,9883
20040806,9794
20040809,9735
20040810,9706
20040811,9735
20040812,9824
20040813,9794
20040816,10015
20040817,9956
20040818,9927
20040819,9853
20040820,9794
20040823,9765
20040824,10487
20040825,10869
20040826,10943
20040827,10796
20040830,10825
20040831,10604
20040901,10472
20040902,10251
20040903,10074
20040906,10089
20040907,9986
20040908,10266
20040909,10545
20040910,10457
20040913,10487
20040914,10133
